timestamp_utc,timestamp_raw,host,process,pid,event,event_class,user,target_user,target_group,source_ip,port,tty,pwd,command,result,message,source
2021-12-05 06:26:02,Dec  5 06:26:02,ApacheWebServer,CRON,20692,session opened,session,root,,,,,,,,success,pam_unix(cron:session): session opened for user root by (uid=0),/var/log/auth.log
2021-12-05 06:26:06,Dec  5 06:26:06,ApacheWebServer,CRON,20692,session closed,session,root,,,,,,,,success,pam_unix(cron:session): session closed for user root,/var/log/auth.log
2021-12-05 06:27:01,Dec  5 06:27:01,ApacheWebServer,CRON,21887,session opened,session,root,,,,,,,,success,pam_unix(cron:session): session opened for user root by (uid=0),/var/log/auth.log
2021-12-05 06:27:04,Dec  5 06:27:04,ApacheWebServer,CRON,19750,session closed,session,root,,,,,,,,success,pam_unix(cron:session): session closed for user root,/var/log/auth.log
2021-12-05 06:27:04,Dec  5 06:27:04,ApacheWebServer,CRON,21887,session closed,session,root,,,,,,,,success,pam_unix(cron:session): session closed for user root,/var/log/auth.log
2021-12-05 06:28:02,Dec  5 06:28:02,ApacheWebServer,CRON,23086,session opened,session,root,,,,,,,,success,pam_unix(cron:session): session opened for user root by (uid=0),/var/log/auth.log
2021-12-05 06:28:04,Dec  5 06:28:04,ApacheWebServer,CRON,23086,session closed,session,root,,,,,,,,success,pam_unix(cron:session): session closed for user root,/var/log/auth.log
2021-12-05 06:29:01,Dec  5 06:29:01,ApacheWebServer,CRON,23735,session opened,session,root,,,,,,,,success,pam_unix(cron:session): session opened for user root by (uid=0),/var/log/auth.log
2021-12-05 06:29:03,Dec  5 06:29:03,ApacheWebServer,CRON,23735,session closed,session,root,,,,,,,,success,pam_unix(cron:session): session closed for user root,/var/log/auth.log
2021-12-05 06:29:04,Dec  5 06:29:04,ApacheWebServer,sudo,,sudo command,priv,omsagent,root,,,,unknown,/,/opt/microsoft/omsagent/plugin/processinvestigator,success,omsagent : TTY=unknown ; PWD=/ ; USER=root ; COMMAND=/opt/microsoft/omsagent/plugin/processinvestigator,/var/log/auth.log
2021-12-05 06:29:04,Dec  5 06:29:04,ApacheWebServer,sudo,,session opened,session,root,,,,,,,,success,pam_unix(sudo:session): session opened for user root by (uid=0),/var/log/auth.log
2021-12-05 06:29:16,Dec  5 06:29:16,ApacheWebServer,sudo,,session closed,session,root,,,,,,,,success,pam_unix(sudo:session): session closed for user root,/var/log/auth.log
2021-12-05 06:30:02,Dec  5 06:30:02,ApacheWebServer,CRON,23984,session opened,session,root,,,,,,,,success,pam_unix(cron:session): session opened for user root by (uid=0),/var/log/auth.log
2021-12-05 06:30:02,Dec  5 06:30:02,ApacheWebServer,CRON,23983,session opened,session,root,,,,,,,,success,pam_unix(cron:session): session opened for user root by (uid=0),/var/log/auth.log
2021-12-05 06:30:02,Dec  5 06:30:02,ApacheWebServer,CRON,23982,session opened,session,root,,,,,,,,success,pam_unix(cron:session): session opened for user root by (uid=0),/var/log/auth.log
2021-12-05 06:30:03,Dec  5 06:30:03,ApacheWebServer,CRON,23983,session closed,session,root,,,,,,,,success,pam_unix(cron:session): session closed for user root,/var/log/auth.log
2021-12-05 06:30:04,Dec  5 06:30:04,ApacheWebServer,CRON,23982,session closed,session,root,,,,,,,,success,pam_unix(cron:session): session closed for user root,/var/log/auth.log
2021-12-05 06:30:05,Dec  5 06:30:05,ApacheWebServer,CRON,23984,session closed,session,root,,,,,,,,success,pam_unix(cron:session): session closed for user root,/var/log/auth.log
2021-12-05 06:30:32,Dec  5 06:30:32,ApacheWebServer,sshd,24072,invalid user,auth,user,,,198.18.0.5,52506,,,,failure,Invalid user user from 198.18.0.5 port 52506,/var/log/auth.log
2021-12-05 06:30:32,Dec  5 06:30:32,ApacheWebServer,sshd,24072,connection closed,auth,,,,198.18.0.5,52506,,,,success,Received disconnect from 198.18.0.5 port 52506:11: Bye Bye [preauth],/var/log/auth.log
2021-12-05 06:30:32,Dec  5 06:30:32,ApacheWebServer,sshd,24072,connection closed,auth,user,,,198.18.0.5,52506,,,,failure,Disconnected from invalid user user 198.18.0.5 port 52506 [preauth],/var/log/auth.log
2021-12-05 06:30:37,Dec  5 06:30:37,ApacheWebServer,sshd,24104,connection closed,auth,,,,198.18.0.68,37210,,,,success,Received disconnect from 198.18.0.68 port 37210:11:  [preauth],/var/log/auth.log
2021-12-05 06:30:37,Dec  5 06:30:37,ApacheWebServer,sshd,24104,connection closed,auth,root,,,198.18.0.68,37210,,,,success,Disconnected from authenticating user root 198.18.0.68 port 37210 [preauth],/var/log/auth.log
2021-12-05 06:31:01,Dec  5 06:31:01,ApacheWebServer,CRON,24165,session opened,session,root,,,,,,,,success,pam_unix(cron:session): session opened for user root by (uid=0),/var/log/auth.log
2021-12-05 06:31:03,Dec  5 06:31:03,ApacheWebServer,CRON,24165,session closed,session,root,,,,,,,,success,pam_unix(cron:session): session closed for user root,/var/log/auth.log
2021-12-05 06:32:01,Dec  5 06:32:01,ApacheWebServer,CRON,24401,session opened,session,root,,,,,,,,success,pam_unix(cron:session): session opened for user root by (uid=0),/var/log/auth.log
2021-12-05 06:32:03,Dec  5 06:32:03,ApacheWebServer,CRON,24401,session closed,session,root,,,,,,,,success,pam_unix(cron:session): session closed for user root,/var/log/auth.log
2021-12-05 06:33:01,Dec  5 06:33:01,ApacheWebServer,CRON,24616,session opened,session,root,,,,,,,,success,pam_unix(cron:session): session opened for user root by (uid=0),/var/log/auth.log
2021-12-05 06:33:04,Dec  5 06:33:04,ApacheWebServer,CRON,24616,session closed,session,root,,,,,,,,success,pam_unix(cron:session): session closed for user root,/var/log/auth.log
2021-12-05 06:34:01,Dec  5 06:34:01,ApacheWebServer,CRON,24825,session opened,session,root,,,,,,,,success,pam_unix(cron:session): session opened for user root by (uid=0),/var/log/auth.log
2021-12-05 06:34:03,Dec  5 06:34:03,ApacheWebServer,CRON,24825,session closed,session,root,,,,,,,,success,pam_unix(cron:session): session closed for user root,/var/log/auth.log
2021-12-05 06:35:01,Dec  5 06:35:01,ApacheWebServer,CRON,25282,session opened,session,root,,,,,,,,success,pam_unix(cron:session): session opened for user root by (uid=0),/var/log/auth.log
2021-12-05 06:35:01,Dec  5 06:35:01,ApacheWebServer,CRON,25281,session opened,session,omsagent,,,,,,,,success,pam_unix(cron:session): session opened for user omsagent by (uid=0),/var/log/auth.log
2021-12-05 06:35:02,Dec  5 06:35:02,ApacheWebServer,CRON,25283,session opened,session,root,,,,,,,,success,pam_unix(cron:session): session opened for user root by (uid=0),/var/log/auth.log
2021-12-05 06:35:03,Dec  5 06:35:03,ApacheWebServer,CRON,25282,session closed,session,root,,,,,,,,success,pam_unix(cron:session): session closed for user root,/var/log/auth.log
2021-12-05 06:35:05,Dec  5 06:35:05,ApacheWebServer,CRON,25283,session closed,session,root,,,,,,,,success,pam_unix(cron:session): session closed for user root,/var/log/auth.log
