timestamp_utc,kind,user,source_host,source_ip,port,terminal,service,method,detail,logged_by,source
2021-12-01 06:33:31,failed login,admin,198.18.6.144,198.18.6.144,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 06:34:21,failed login,baikal,198.18.6.144,198.18.6.144,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 06:36:25,failed login,user,198.18.7.54,198.18.7.54,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:04:19,failed login,user,198.18.0.93,198.18.0.93,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:09:52,failed login,user,198.18.3.147,198.18.3.147,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:10:44,failed login,user,198.18.3.147,198.18.3.147,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:11:13,failed login,user,198.18.0.138,198.18.0.138,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:11:37,failed login,user,198.18.3.147,198.18.3.147,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:12:30,failed login,user,198.18.3.147,198.18.3.147,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:13:23,failed login,user,198.18.3.147,198.18.3.147,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:14:16,failed login,user,198.18.3.147,198.18.3.147,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:15:09,failed login,user,198.18.3.147,198.18.3.147,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:16:04,failed login,user,198.18.3.147,198.18.3.147,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:16:56,failed login,user,198.18.3.147,198.18.3.147,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:20:28,failed login,user,198.18.0.16,198.18.0.16,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:20:57,failed login,user,198.18.0.16,198.18.0.16,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:23:47,failed login,user,198.18.3.148,198.18.3.148,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:24:50,failed login,user,198.18.3.148,198.18.3.148,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:25:31,failed login,user,198.18.0.7,198.18.0.7,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:25:53,failed login,user,198.18.3.148,198.18.3.148,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:26:56,failed login,user,198.18.3.148,198.18.3.148,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
