path,host_path,top_level,category,size_bytes,size_human,parsed_into
[root]/etc/NetworkManager/dispatcher.d/hook-network-manager,/etc/NetworkManager/dispatcher.d/hook-network-manager,[root],host filesystem copy,745,745 B,INIT_AND_PROFILE
[root]/etc/X11/Xsession.d/90gpg-agent,/etc/X11/Xsession.d/90gpg-agent,[root],host filesystem copy,902,902 B,ETC_CONFIGS
[root]/etc/adduser.conf,/etc/adduser.conf,[root],host filesystem copy,3116,3.0 KB,ETC_CONFIGS
[root]/etc/alternatives/README,/etc/alternatives/README,[root],host filesystem copy,102,102 B,
[root]/etc/apache2/extra/httpd-autoindex.conf,/etc/apache2/extra/httpd-autoindex.conf,[root],host filesystem copy,2974,2.9 KB,WEB_CONFIG
[root]/etc/apache2/extra/httpd-dav.conf,/etc/apache2/extra/httpd-dav.conf,[root],host filesystem copy,1777,1.7 KB,WEB_CONFIG
[root]/etc/apache2/extra/httpd-default.conf,/etc/apache2/extra/httpd-default.conf,[root],host filesystem copy,3032,3.0 KB,WEB_CONFIG
[root]/etc/apache2/extra/httpd-info.conf,/etc/apache2/extra/httpd-info.conf,[root],host filesystem copy,1155,1.1 KB,WEB_CONFIG
[root]/etc/apache2/extra/httpd-languages.conf,/etc/apache2/extra/httpd-languages.conf,[root],host filesystem copy,5219,5.1 KB,WEB_CONFIG
[root]/etc/apache2/extra/httpd-manual.conf,/etc/apache2/extra/httpd-manual.conf,[root],host filesystem copy,1473,1.4 KB,WEB_CONFIG
[root]/etc/apache2/extra/httpd-mpm.conf,/etc/apache2/extra/httpd-mpm.conf,[root],host filesystem copy,4575,4.5 KB,WEB_CONFIG
[root]/etc/apache2/extra/httpd-multilang-errordoc.conf,/etc/apache2/extra/httpd-multilang-errordoc.conf,[root],host filesystem copy,2274,2.2 KB,WEB_CONFIG
[root]/etc/apache2/extra/httpd-ssl.conf,/etc/apache2/extra/httpd-ssl.conf,[root],host filesystem copy,13479,13.2 KB,WEB_CONFIG
[root]/etc/apache2/extra/httpd-userdir.conf,/etc/apache2/extra/httpd-userdir.conf,[root],host filesystem copy,715,715 B,WEB_CONFIG
[root]/etc/apache2/extra/httpd-vhosts.conf,/etc/apache2/extra/httpd-vhosts.conf,[root],host filesystem copy,1520,1.5 KB,WEB_CONFIG
[root]/etc/apache2/extra/proxy-html.conf,/etc/apache2/extra/proxy-html.conf,[root],host filesystem copy,3251,3.2 KB,WEB_CONFIG
[root]/etc/apache2/httpd.conf,/etc/apache2/httpd.conf,[root],host filesystem copy,20945,20.5 KB,WEB_CONFIG
[root]/etc/apache2/magic,/etc/apache2/magic,[root],host filesystem copy,13449,13.1 KB,"WEB_CONFIG (reference data, not expanded)"
[root]/etc/apache2/mime.types,/etc/apache2/mime.types,[root],host filesystem copy,62702,61.2 KB,"WEB_CONFIG (reference data, not expanded)"
[root]/etc/apache2/original/extra/httpd-autoindex.conf,/etc/apache2/original/extra/httpd-autoindex.conf,[root],host filesystem copy,2974,2.9 KB,WEB_CONFIG
[root]/etc/apache2/original/extra/httpd-dav.conf,/etc/apache2/original/extra/httpd-dav.conf,[root],host filesystem copy,1777,1.7 KB,WEB_CONFIG
[root]/etc/apache2/original/extra/httpd-default.conf,/etc/apache2/original/extra/httpd-default.conf,[root],host filesystem copy,3032,3.0 KB,WEB_CONFIG
[root]/etc/apache2/original/extra/httpd-info.conf,/etc/apache2/original/extra/httpd-info.conf,[root],host filesystem copy,1155,1.1 KB,WEB_CONFIG
[root]/etc/apache2/original/extra/httpd-languages.conf,/etc/apache2/original/extra/httpd-languages.conf,[root],host filesystem copy,5219,5.1 KB,WEB_CONFIG
[root]/etc/apache2/original/extra/httpd-manual.conf,/etc/apache2/original/extra/httpd-manual.conf,[root],host filesystem copy,1473,1.4 KB,WEB_CONFIG
[root]/etc/apache2/original/extra/httpd-mpm.conf,/etc/apache2/original/extra/httpd-mpm.conf,[root],host filesystem copy,4575,4.5 KB,WEB_CONFIG
[root]/etc/apache2/original/extra/httpd-multilang-errordoc.conf,/etc/apache2/original/extra/httpd-multilang-errordoc.conf,[root],host filesystem copy,2274,2.2 KB,WEB_CONFIG
[root]/etc/apache2/original/extra/httpd-ssl.conf,/etc/apache2/original/extra/httpd-ssl.conf,[root],host filesystem copy,13479,13.2 KB,WEB_CONFIG
[root]/etc/apache2/original/extra/httpd-userdir.conf,/etc/apache2/original/extra/httpd-userdir.conf,[root],host filesystem copy,715,715 B,WEB_CONFIG
[root]/etc/apache2/original/extra/httpd-vhosts.conf,/etc/apache2/original/extra/httpd-vhosts.conf,[root],host filesystem copy,1520,1.5 KB,WEB_CONFIG
[root]/etc/apache2/original/extra/proxy-html.conf,/etc/apache2/original/extra/proxy-html.conf,[root],host filesystem copy,3251,3.2 KB,WEB_CONFIG
[root]/etc/apache2/original/httpd.conf,/etc/apache2/original/httpd.conf,[root],host filesystem copy,20801,20.3 KB,WEB_CONFIG
[root]/etc/apm/event.d/20hdparm,/etc/apm/event.d/20hdparm,[root],host filesystem copy,2347,2.3 KB,ETC_CONFIGS
[root]/etc/apparmor.d/abstractions/X,/etc/apparmor.d/abstractions/X,[root],host filesystem copy,1965,1.9 KB,
[root]/etc/apparmor.d/abstractions/apache2-common,/etc/apparmor.d/abstractions/apache2-common,[root],host filesystem copy,903,903 B,
[root]/etc/apparmor.d/abstractions/apparmor_api/change_profile,/etc/apparmor.d/abstractions/apparmor_api/change_profile,[root],host filesystem copy,404,404 B,
[root]/etc/apparmor.d/abstractions/apparmor_api/examine,/etc/apparmor.d/abstractions/apparmor_api/examine,[root],host filesystem copy,488,488 B,
[root]/etc/apparmor.d/abstractions/apparmor_api/find_mountpoint,/etc/apparmor.d/abstractions/apparmor_api/find_mountpoint,[root],host filesystem copy,516,516 B,
[root]/etc/apparmor.d/abstractions/apparmor_api/introspect,/etc/apparmor.d/abstractions/apparmor_api/introspect,[root],host filesystem copy,487,487 B,
[root]/etc/apparmor.d/abstractions/apparmor_api/is_enabled,/etc/apparmor.d/abstractions/apparmor_api/is_enabled,[root],host filesystem copy,642,642 B,
[root]/etc/apparmor.d/abstractions/aspell,/etc/apparmor.d/abstractions/aspell,[root],host filesystem copy,321,321 B,
[root]/etc/apparmor.d/abstractions/audio,/etc/apparmor.d/abstractions/audio,[root],host filesystem copy,1842,1.8 KB,
[root]/etc/apparmor.d/abstractions/authentication,/etc/apparmor.d/abstractions/authentication,[root],host filesystem copy,1637,1.6 KB,
[root]/etc/apparmor.d/abstractions/base,/etc/apparmor.d/abstractions/base,[root],host filesystem copy,6519,6.4 KB,
[root]/etc/apparmor.d/abstractions/bash,/etc/apparmor.d/abstractions/bash,[root],host filesystem copy,1556,1.5 KB,
[root]/etc/apparmor.d/abstractions/consoles,/etc/apparmor.d/abstractions/consoles,[root],host filesystem copy,821,821 B,
[root]/etc/apparmor.d/abstractions/cups-client,/etc/apparmor.d/abstractions/cups-client,[root],host filesystem copy,732,732 B,
[root]/etc/apparmor.d/abstractions/dbus,/etc/apparmor.d/abstractions/dbus,[root],host filesystem copy,609,609 B,
[root]/etc/apparmor.d/abstractions/dbus-accessibility,/etc/apparmor.d/abstractions/dbus-accessibility,[root],host filesystem copy,646,646 B,
[root]/etc/apparmor.d/abstractions/dbus-accessibility-strict,/etc/apparmor.d/abstractions/dbus-accessibility-strict,[root],host filesystem copy,654,654 B,
[root]/etc/apparmor.d/abstractions/dbus-session,/etc/apparmor.d/abstractions/dbus-session,[root],host filesystem copy,655,655 B,
[root]/etc/apparmor.d/abstractions/dbus-session-strict,/etc/apparmor.d/abstractions/dbus-session-strict,[root],host filesystem copy,948,948 B,
[root]/etc/apparmor.d/abstractions/dbus-strict,/etc/apparmor.d/abstractions/dbus-strict,[root],host filesystem copy,696,696 B,
[root]/etc/apparmor.d/abstractions/dconf,/etc/apparmor.d/abstractions/dconf,[root],host filesystem copy,254,254 B,
[root]/etc/apparmor.d/abstractions/dovecot-common,/etc/apparmor.d/abstractions/dovecot-common,[root],host filesystem copy,591,591 B,
[root]/etc/apparmor.d/abstractions/enchant,/etc/apparmor.d/abstractions/enchant,[root],host filesystem copy,2063,2.0 KB,
[root]/etc/apparmor.d/abstractions/fcitx,/etc/apparmor.d/abstractions/fcitx,[root],host filesystem copy,469,469 B,
[root]/etc/apparmor.d/abstractions/fcitx-strict,/etc/apparmor.d/abstractions/fcitx-strict,[root],host filesystem copy,733,733 B,
[root]/etc/apparmor.d/abstractions/fonts,/etc/apparmor.d/abstractions/fonts,[root],host filesystem copy,2038,2.0 KB,
[root]/etc/apparmor.d/abstractions/freedesktop.org,/etc/apparmor.d/abstractions/freedesktop.org,[root],host filesystem copy,2481,2.4 KB,
[root]/etc/apparmor.d/abstractions/gnome,/etc/apparmor.d/abstractions/gnome,[root],host filesystem copy,3487,3.4 KB,
[root]/etc/apparmor.d/abstractions/gnupg,/etc/apparmor.d/abstractions/gnupg,[root],host filesystem copy,367,367 B,
[root]/etc/apparmor.d/abstractions/ibus,/etc/apparmor.d/abstractions/ibus,[root],host filesystem copy,659,659 B,
[root]/etc/apparmor.d/abstractions/kde,/etc/apparmor.d/abstractions/kde,[root],host filesystem copy,2129,2.1 KB,
[root]/etc/apparmor.d/abstractions/kerberosclient,/etc/apparmor.d/abstractions/kerberosclient,[root],host filesystem copy,1135,1.1 KB,
[root]/etc/apparmor.d/abstractions/launchpad-integration,/etc/apparmor.d/abstractions/launchpad-integration,[root],host filesystem copy,852,852 B,
[root]/etc/apparmor.d/abstractions/ldapclient,/etc/apparmor.d/abstractions/ldapclient,[root],host filesystem copy,707,707 B,
[root]/etc/apparmor.d/abstractions/libpam-systemd,/etc/apparmor.d/abstractions/libpam-systemd,[root],host filesystem copy,678,678 B,
[root]/etc/apparmor.d/abstractions/likewise,/etc/apparmor.d/abstractions/likewise,[root],host filesystem copy,502,502 B,
[root]/etc/apparmor.d/abstractions/lxc/container-base,/etc/apparmor.d/abstractions/lxc/container-base,[root],host filesystem copy,8409,8.2 KB,
[root]/etc/apparmor.d/abstractions/lxc/start-container,/etc/apparmor.d/abstractions/lxc/start-container,[root],host filesystem copy,1566,1.5 KB,
[root]/etc/apparmor.d/abstractions/mdns,/etc/apparmor.d/abstractions/mdns,[root],host filesystem copy,449,449 B,
[root]/etc/apparmor.d/abstractions/mir,/etc/apparmor.d/abstractions/mir,[root],host filesystem copy,610,610 B,
[root]/etc/apparmor.d/abstractions/mozc,/etc/apparmor.d/abstractions/mozc,[root],host filesystem copy,483,483 B,
[root]/etc/apparmor.d/abstractions/mysql,/etc/apparmor.d/abstractions/mysql,[root],host filesystem copy,656,656 B,
[root]/etc/apparmor.d/abstractions/nameservice,/etc/apparmor.d/abstractions/nameservice,[root],host filesystem copy,3958,3.9 KB,
[root]/etc/apparmor.d/abstractions/nis,/etc/apparmor.d/abstractions/nis,[root],host filesystem copy,539,539 B,
[root]/etc/apparmor.d/abstractions/nvidia,/etc/apparmor.d/abstractions/nvidia,[root],host filesystem copy,542,542 B,
[root]/etc/apparmor.d/abstractions/openssl,/etc/apparmor.d/abstractions/openssl,[root],host filesystem copy,484,484 B,
[root]/etc/apparmor.d/abstractions/orbit2,/etc/apparmor.d/abstractions/orbit2,[root],host filesystem copy,98,98 B,
[root]/etc/apparmor.d/abstractions/p11-kit,/etc/apparmor.d/abstractions/p11-kit,[root],host filesystem copy,926,926 B,
[root]/etc/apparmor.d/abstractions/perl,/etc/apparmor.d/abstractions/perl,[root],host filesystem copy,895,895 B,
[root]/etc/apparmor.d/abstractions/php,/etc/apparmor.d/abstractions/php,[root],host filesystem copy,1010,1010 B,
[root]/etc/apparmor.d/abstractions/php5,/etc/apparmor.d/abstractions/php5,[root],host filesystem copy,108,108 B,
[root]/etc/apparmor.d/abstractions/postfix-common,/etc/apparmor.d/abstractions/postfix-common,[root],host filesystem copy,1141,1.1 KB,
[root]/etc/apparmor.d/abstractions/private-files,/etc/apparmor.d/abstractions/private-files,[root],host filesystem copy,1565,1.5 KB,
[root]/etc/apparmor.d/abstractions/private-files-strict,/etc/apparmor.d/abstractions/private-files-strict,[root],host filesystem copy,1030,1.0 KB,
[root]/etc/apparmor.d/abstractions/python,/etc/apparmor.d/abstractions/python,[root],host filesystem copy,1578,1.5 KB,
[root]/etc/apparmor.d/abstractions/ruby,/etc/apparmor.d/abstractions/ruby,[root],host filesystem copy,927,927 B,
[root]/etc/apparmor.d/abstractions/samba,/etc/apparmor.d/abstractions/samba,[root],host filesystem copy,861,861 B,
[root]/etc/apparmor.d/abstractions/smbpass,/etc/apparmor.d/abstractions/smbpass,[root],host filesystem copy,489,489 B,
[root]/etc/apparmor.d/abstractions/ssl_certs,/etc/apparmor.d/abstractions/ssl_certs,[root],host filesystem copy,953,953 B,
[root]/etc/apparmor.d/abstractions/ssl_keys,/etc/apparmor.d/abstractions/ssl_keys,[root],host filesystem copy,672,672 B,
[root]/etc/apparmor.d/abstractions/svn-repositories,/etc/apparmor.d/abstractions/svn-repositories,[root],host filesystem copy,1698,1.7 KB,
[root]/etc/apparmor.d/abstractions/ubuntu-bittorrent-clients,/etc/apparmor.d/abstractions/ubuntu-bittorrent-clients,[root],host filesystem copy,715,715 B,
[root]/etc/apparmor.d/abstractions/ubuntu-browsers,/etc/apparmor.d/abstractions/ubuntu-browsers,[root],host filesystem copy,1699,1.7 KB,
[root]/etc/apparmor.d/abstractions/ubuntu-browsers.d/java,/etc/apparmor.d/abstractions/ubuntu-browsers.d/java,[root],host filesystem copy,3997,3.9 KB,
[root]/etc/apparmor.d/abstractions/ubuntu-browsers.d/kde,/etc/apparmor.d/abstractions/ubuntu-browsers.d/kde,[root],host filesystem copy,255,255 B,
[root]/etc/apparmor.d/abstractions/ubuntu-browsers.d/mailto,/etc/apparmor.d/abstractions/ubuntu-browsers.d/mailto,[root],host filesystem copy,333,333 B,
[root]/etc/apparmor.d/abstractions/ubuntu-browsers.d/multimedia,/etc/apparmor.d/abstractions/ubuntu-browsers.d/multimedia,[root],host filesystem copy,1836,1.8 KB,
[root]/etc/apparmor.d/abstractions/ubuntu-browsers.d/plugins-common,/etc/apparmor.d/abstractions/ubuntu-browsers.d/plugins-common,[root],host filesystem copy,350,350 B,
[root]/etc/apparmor.d/abstractions/ubuntu-browsers.d/productivity,/etc/apparmor.d/abstractions/ubuntu-browsers.d/productivity,[root],host filesystem copy,1021,1021 B,
