severity,category,title,mitre,artifact,count,first_utc,last_utc,detail,evidence_count,evidence
CRITICAL,Authentication,1 address(es) authenticated successfully after failing,T1110 Brute Force / T1078 Valid Accounts,"/var/log/btmp, auth.log, journal",1,2021-12-08 16:08:20,2021-12-08 16:09:12,An address that guessed wrong and then got it right is the signature of a successful credential attack. Every account named here needs its session activity reviewed and its credentials rotated.,1,198.18.0.0: 7 failure(s) then SUCCESS - Dec  8 16:10:13 ApacheWebServer sshd[3626]: Accepted publickey for root from 198.18.0.0 port 59883 ssh2: RSA SHA2...
CRITICAL,Filesystem,1 executable file(s) in world-writable temp directories,T1036 Masquerading / T1059,bodyfile/bodyfile.txt,1,2021-11-11 19:09:51,2021-11-11 19:09:51,"/tmp, /var/tmp and /dev/shm are the default drop locations for payloads. /dev/shm is memory-backed, so files there disappear on reboot - an attacker choice, not an accident.",1,-rwxr-xr-x /var/tmp/dk86  uid=1 size=48748     mtime=2021-11-11 19:09:51
CRITICAL,Process,1 process(es) executing from a world-writable directory,T1059 / T1036 Masquerading,live_response/process/running_processes_full_paths.txt,1,2021-12-05 08:28:02,2021-12-05 08:28:02,"Binaries under /tmp, /var/tmp, /dev/shm or /run are the standard staging location for dropped payloads. Legitimate services do not run from these paths.",1,PID 24330   daemon     /tmp/agettyd (deleted)                 agettyd -c noresetd
CRITICAL,Process,2 process(es) running a deleted binary,T1070.004 Indicator Removal: File Deletion,live_response/process/running_processes_full_paths.txt,2,2021-10-09 15:06:17,2021-12-05 08:28:02,The on-disk file was unlinked while the process kept running - a deliberate anti-forensic pattern. The executable can still be recovered from /proc/<pid>/exe on the live host or from the memory image in this collection.,2,"PID 609     root       / (deleted)                            bpfilter_umh
PID 24330   daemon     /tmp/agettyd (deleted)                 agettyd -c noresetd"
HIGH,Authentication,198 source address(es) with 10+ failed logins,T1110 Brute Force,"/var/log/btmp, auth.log, journal",27867,2021-11-01 06:36:43,2021-12-08 20:21:54,Repeated authentication failure from one address is password guessing. Check whether any of these addresses later appears in a successful login - that is the difference between a failed attack and a breach.,30,"198.18.0.1                             3254 failure(s) against 0 account(s): (unnamed)   [2021-11-10 14:01:14 .. 2021-11-11 00:30:55]
198.18.0.2                           2589 failure(s) against 0 account(s): (unnamed)   [2021-11-09 13:59:46 .. 2021-11-11 04:40:46]
198.18.0.3                           1638 failure(s) against 186 account(s): 02, 1234, 12345, 123abcd, 154user, ADMIN, Administrator, ...   [2021-11-02 01:17:40 .. 2021-12-08 20:04:04]
198.18.0.4                             1555 failure(s) against 12 account(s): administrator, ansible, ftpuser, git, jira, node, odoo, o...   [2021-11-03 21:32:26 .. 2021-12-07 03:10:00]
198.18.0.5                               621 failure(s) against 78 account(s): 1, 1001user, 12345, 12qwaszx, 161user, 22, 888888, ADMINI...   [2021-12-02 23:02:00 .. 2021-12-08 20:21:54]
198.18.0.6                             571 failure(s) against 53 account(s): admin, amssys, ansible, apache, app, centos, cms, daemon,...   [2021-11-23 17:17:16 .. 2021-11-23 17:23:40]
198.18.0.7                               537 failure(s) against 1 account(s): user   [2021-11-01 19:30:44 .. 2021-12-08 17:55:24]
198.18.0.8                              503 failure(s) against 69 account(s): 123456789, 666666, Administrator, adm, admin, administrat...   [2021-12-02 16:40:38 .. 2021-12-08 18:24:40]
198.18.0.9                             497 failure(s) against 35 account(s): db, debian, demo, dev, elastic, elasticsearch, ftpadmin, ...   [2021-11-18 06:01:57 .. 2021-11-20 00:00:16]
198.18.0.10                              440 failure(s) against 14 account(s): admin, debianuser, deploy, dmdba, gns3, hadoop, jenkins, ...   [2021-11-20 06:49:10 .. 2021-12-08 12:43:57]
10.0.0.4                                   360 failure(s) against 34 account(s): 0, 00, 10px, 1q, Akako, Akasuki, Amaterasu, Amaya, a, a1,...   [2021-11-19 22:43:30 .. 2021-11-19 22:45:04]
198.18.0.11                            354 failure(s) against 83 account(s): Administrator, PlcmSpIp, RPM, activesolutions, adm, admin...   [2021-11-02 03:22:42 .. 2021-11-29 10:07:43]
198.18.0.12                             322 failure(s) against 20 account(s): ansible, deploy, deployer, dev, ftpuser, git, gituser, ha...   [2021-11-03 08:20:41 .. 2021-12-04 09:41:58]
198.18.0.13                               297 failure(s) against 1 account(s): user   [2021-11-02 12:13:35 .. 2021-11-29 23:59:15]
198.18.0.14                               260 failure(s) against 15 account(s): admin, ansible, butter, dev, git, mc, oracle, postgres, s...   [2021-12-02 23:23:50 .. 2021-12-08 07:33:40]
198.18.0.15                              257 failure(s) against 32 account(s): absuble, admin, administrator, ansible, butter, db2inst1,...   [2021-11-23 07:27:12 .. 2021-11-23 07:56:20]
198.18.0.16                             252 failure(s) against 1 account(s): user   [2021-11-16 09:01:53 .. 2021-12-08 12:43:51]
198.18.0.17                             250 failure(s) against 35 account(s): db, debian, demo, dev, elastic, elasticsearch, ftpadmin, ...   [2021-11-08 20:19:22 .. 2021-11-11 06:43:47]
198.18.0.18                               244 failure(s) against 1 account(s): user   [2021-11-01 14:59:46 .. 2021-11-23 08:27:07]
198.18.0.19                              228 failure(s) against 3 account(s): jetbot, mos, user   [2021-11-23 19:54:59 .. 2021-11-29 06:01:42]
198.18.0.20                             217 failure(s) against 3 account(s): oracle, test, user   [2021-11-27 11:36:27 .. 2021-11-27 11:47:16]
198.18.0.21                              213 failure(s) against 18 account(s): a1234, admin, ansible, es, git, hadoop, mcserver, minecra...   [2021-11-24 18:43:00 .. 2021-12-02 01:18:42]
198.18.0.22                             210 failure(s) against 1 account(s): user   [2021-11-12 17:05:37 .. 2021-12-05 12:40:00]
198.18.0.23                             200 failure(s) against 9 account(s): admin, ftpuser, oracle, root, test, test1, test2, user, u...   [2021-11-10 07:34:10 .. 2021-11-30 08:18:11]
198.18.0.24                            198 failure(s) against 34 account(s): 1234, PlcmSpIp, admin, ftp, jason, mailman, manager, moni...   [2021-11-18 01:10:38 .. 2021-12-05 01:15:10]
198.18.0.46                             195 failure(s) against 3 account(s): debianuser, ossuser, user   [2021-11-05 05:42:30 .. 2021-12-08 04:49:51]
198.18.0.47                             195 failure(s) against 1 account(s): user   [2021-11-04 15:27:33 .. 2021-11-30 19:39:01]
198.18.0.48                             189 failure(s) against 1 account(s): user   [2021-11-25 06:04:01 .. 2021-11-30 23:04:07]
198.18.0.25                               179 failure(s) against 144 account(s): 198.18.0.26, 198.18.0.27, 198.18.0.28, 106.75.214...   [2021-11-04 02:21:49 .. 2021-11-07 02:32:19]
198.18.0.49                              175 failure(s) against 1 account(s): user   [2021-11-14 05:11:37 .. 2021-12-08 16:58:07]"
HIGH,Authentication,75 source address(es) tried 5+ different accounts,T1110.003 Password Spraying,"/var/log/btmp, auth.log, journal",11650,2021-11-01 21:03:56,2021-12-08 20:21:54,One source enumerating many usernames is password spraying or account enumeration rather than a forgotten password.,30,"198.18.0.3                           1638 failure(s) against 186 account(s): 02, 1234, 12345, 123abcd, 154user, ADMIN, Administrator, ...   [2021-11-02 01:17:40 .. 2021-12-08 20:04:04]
198.18.0.4                             1555 failure(s) against 12 account(s): administrator, ansible, ftpuser, git, jira, node, odoo, o...   [2021-11-03 21:32:26 .. 2021-12-07 03:10:00]
198.18.0.5                               621 failure(s) against 78 account(s): 1, 1001user, 12345, 12qwaszx, 161user, 22, 888888, ADMINI...   [2021-12-02 23:02:00 .. 2021-12-08 20:21:54]
198.18.0.6                             571 failure(s) against 53 account(s): admin, amssys, ansible, apache, app, centos, cms, daemon,...   [2021-11-23 17:17:16 .. 2021-11-23 17:23:40]
198.18.0.8                              503 failure(s) against 69 account(s): 123456789, 666666, Administrator, adm, admin, administrat...   [2021-12-02 16:40:38 .. 2021-12-08 18:24:40]
198.18.0.9                             497 failure(s) against 35 account(s): db, debian, demo, dev, elastic, elasticsearch, ftpadmin, ...   [2021-11-18 06:01:57 .. 2021-11-20 00:00:16]
198.18.0.10                              440 failure(s) against 14 account(s): admin, debianuser, deploy, dmdba, gns3, hadoop, jenkins, ...   [2021-11-20 06:49:10 .. 2021-12-08 12:43:57]
10.0.0.4                                   360 failure(s) against 34 account(s): 0, 00, 10px, 1q, Akako, Akasuki, Amaterasu, Amaya, a, a1,...   [2021-11-19 22:43:30 .. 2021-11-19 22:45:04]
198.18.0.11                            354 failure(s) against 83 account(s): Administrator, PlcmSpIp, RPM, activesolutions, adm, admin...   [2021-11-02 03:22:42 .. 2021-11-29 10:07:43]
198.18.0.12                             322 failure(s) against 20 account(s): ansible, deploy, deployer, dev, ftpuser, git, gituser, ha...   [2021-11-03 08:20:41 .. 2021-12-04 09:41:58]
198.18.0.14                               260 failure(s) against 15 account(s): admin, ansible, butter, dev, git, mc, oracle, postgres, s...   [2021-12-02 23:23:50 .. 2021-12-08 07:33:40]
198.18.0.15                              257 failure(s) against 32 account(s): absuble, admin, administrator, ansible, butter, db2inst1,...   [2021-11-23 07:27:12 .. 2021-11-23 07:56:20]
198.18.0.17                             250 failure(s) against 35 account(s): db, debian, demo, dev, elastic, elasticsearch, ftpadmin, ...   [2021-11-08 20:19:22 .. 2021-11-11 06:43:47]
198.18.0.21                              213 failure(s) against 18 account(s): a1234, admin, ansible, es, git, hadoop, mcserver, minecra...   [2021-11-24 18:43:00 .. 2021-12-02 01:18:42]
198.18.0.23                             200 failure(s) against 9 account(s): admin, ftpuser, oracle, root, test, test1, test2, user, u...   [2021-11-10 07:34:10 .. 2021-11-30 08:18:11]
198.18.0.24                            198 failure(s) against 34 account(s): 1234, PlcmSpIp, admin, ftp, jason, mailman, manager, moni...   [2021-11-18 01:10:38 .. 2021-12-05 01:15:10]
198.18.0.25                               179 failure(s) against 144 account(s): 198.18.0.26, 198.18.0.27, 198.18.0.28, 106.75.214...   [2021-11-04 02:21:49 .. 2021-11-07 02:32:19]
198.18.0.29                            168 failure(s) against 18 account(s): ansible, debianuser, deploy, dev, dmdba, ftpuser, jenkins...   [2021-11-21 20:47:12 .. 2021-12-07 00:16:13]
198.18.0.30                            164 failure(s) against 13 account(s): absuble, admin, administrator, butter, debianuser, dev, l...   [2021-11-08 08:00:47 .. 2021-11-08 08:57:15]
198.18.0.31                            157 failure(s) against 28 account(s): apache, demo, deploy, dl, elastic, ftp, ftpuser, guest, j...   [2021-11-13 20:52:14 .. 2021-11-13 21:01:00]
198.18.0.32                            131 failure(s) against 35 account(s): db, debian, demo, dev, elastic, elasticsearch, ftpadmin, ...   [2021-11-21 15:40:50 .. 2021-12-03 05:16:46]
198.18.0.33                             131 failure(s) against 18 account(s): a1234, admin, ansible, es, git, hadoop, mcserver, minecra...   [2021-11-27 01:40:43 .. 2021-11-30 19:19:01]
198.18.0.34                              130 failure(s) against 15 account(s): admin, ansible, butter, dev, git, mc, oracle, postgres, s...   [2021-12-03 08:47:53 .. 2021-12-06 03:26:40]
198.18.0.35                            130 failure(s) against 15 account(s): admin, ansible, butter, dev, git, mc, oracle, postgres, s...   [2021-11-29 08:28:26 .. 2021-12-05 09:57:43]
198.18.0.36                             125 failure(s) against 35 account(s): db, debian, demo, dev, elastic, elasticsearch, ftpadmin, ...   [2021-11-22 18:03:59 .. 2021-11-22 18:19:35]
198.18.0.50                             114 failure(s) against 9 account(s): dmdba, ftpadmin, jenkins, lenovo, oracle, ossuser, test, ...   [2021-11-24 07:44:18 .. 2021-11-30 22:51:36]
198.18.0.51                              103 failure(s) against 13 account(s): Administrator, admin, debianuser, dmdba, ftpadmin, guest,...   [2021-11-13 05:03:10 .. 2021-11-13 05:47:50]
198.18.0.52                              84 failure(s) against 22 account(s): carlos, cisco, cms, cmsuser, csgo, deploy, deployer, ftpa...   [2021-11-21 22:27:42 .. 2021-11-21 22:28:43]
198.18.0.53                              78 failure(s) against 13 account(s): admin, baikal, contador, duni, ftpuser, oracle, pi, root,...   [2021-11-29 09:46:29 .. 2021-12-07 06:06:38]
198.18.0.54                             77 failure(s) against 32 account(s): absuble, admin, administrator, ansible, butter, db2inst1,...   [2021-11-03 05:59:35 .. 2021-11-03 06:28:48]"
HIGH,Integrity,2 running executable(s) with no corresponding file on disk,T1070.004 Indicator Removal: File Deletion,live_response/process/hash_running_processes.md5,2,2021-10-09 15:06:17,2021-12-05 08:28:02,"The process image was deleted or lives in a temp filesystem, so no on-disk copy was hashed during the sweep. These hashes are the ones to submit for reputation lookup and to carve out of the memory image.",2,"7e04ca25dc2b656c19d1f42fd5346ffe  pid 609     / (deleted)
e83658008d6d9dc6fe5dbb0138a4942b  pid 24330   /tmp/agettyd (deleted)"
HIGH,Kernel,dmesg: unsigned / out-of-tree module load (2 line(s)),,live_response/hardware/dmesg.txt,2,2021-12-08 16:18:26,2021-12-08 16:18:26,,2,"[5188338.518818] lime: loading out-of-tree module taints kernel.
[5188338.518860] lime: module verification failed: signature and/or required key missing - tainting kernel"
HIGH,Persistence,SSH authorized_keys entries present,T1098.004 SSH Authorized Keys,[root]/home/azureuser/.ssh/authorized_keys,2,,,"Each key is standing remote access. Verify every entry against the expected administrators, especially keys in root's home.",2,"/home/azureuser/.ssh/authorized_keys : ssh-rsa ... (no comment)
/root/.ssh/authorized_keys : no-port-forwarding,no-agent-forwarding,no-X11-forwarding,command=""echo ... AAAA<REDACTED-KEY-MATERIAL>"
HIGH,Persistence,Suspicious content in startup / shell / hook scripts,T1037 Boot or Logon Initialization Scripts,[root]/etc,8,,,Attackers hide re-execution in the files that every login or boot already runs.,8,"/etc/udev/rules.d/99-azure-product-uuid.rules: RUN+=""/bin/chmod 0444 /sys/devices/virtual/dmi/id/product_uuid""   [udev RUN action]
/etc/init.d/kmod: [ -x /sbin/modprobe  ] || exit 0   [kernel module load]
/etc/init.d/kmod: modprobe $module $args || true   [kernel module load]
/etc/init.d/kmod: modprobe $module $args > /dev/null 2>&1 || true   [kernel module load]
/etc/update-motd.d/50-motd-news: [ -x /usr/bin/wget ] || exit 0   [remote download]
/etc/update-motd.d/50-motd-news: wget_ver=""$(dpkg -l wget | awk '$1 == ""ii"" { print($3); exit(0); }')""   [remote download]
/etc/update-motd.d/50-motd-news: USER_AGENT=""wget/$wget_ver $lsb $platform $cpu cloud_id/$cloud_id""   [remote download]
/etc/update-motd.d/50-motd-news: wget --timeout ""$WAIT"" -U ""$USER_AGENT"" -O- --content-on-error ""$u"" >""$NEWS"" 2>""$ERR"" || result=$?   [remote download]"
