indicator,seen_in_count,seen_in
(no comment),1,authorized_keys
/,1,running process pid 609
/tmp/agettyd,2,pivot; running process pid 24330
/var/tmp/dk86,2,bodyfile (executable in tmpfs); pivot
198.18.0.139,1,/var/log/auth.log.4.gz
198.18.0.140,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.141,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.142,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.143,2,/var/log/auth.log.2.gz; /var/log/auth.log.3.gz
198.18.0.105,2,/var/log/auth.log; /var/log/btmp
10.0.0.4,4,/var/log/auth.log.3.gz; /var/log/btmp.1; failed authentication source; password spraying source
198.18.0.144,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.145,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.146,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.147,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.148,2,/var/log/auth.log.2.gz; /var/log/btmp.1
198.18.0.149,1,/var/log/auth.log.3.gz
198.18.0.150,2,/var/log/auth.log.4.gz; /var/log/btmp.1
198.18.0.151,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.152,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.153,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.154,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.155,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.156,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.157,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.158,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.159,1,/var/log/apache2/error_log
198.18.0.160,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.161,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.162,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.163,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.164,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.165,1,/var/log/apache2/error_log
198.18.0.166,1,/var/log/btmp.1
198.18.0.167,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.168,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.169,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.170,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.171,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.172,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.173,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.174,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.175,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.176,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.177,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.178,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.179,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.180,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.181,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.182,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.183,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.31,4,/var/log/auth.log.4.gz; /var/log/btmp.1; failed authentication source; password spraying source
198.18.0.184,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.127,1,/var/log/auth.log
198.18.0.185,2,/var/log/auth.log.2.gz; /var/log/btmp.1
198.18.0.186,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.187,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.188,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.189,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.190,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.191,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.192,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.193,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.194,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.195,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.196,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.197,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.198,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.199,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.200,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.201,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.202,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.203,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.204,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.205,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.206,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.207,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.208,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.209,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.210,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.211,1,/var/log/auth.log.2.gz
198.18.0.212,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.213,1,/var/log/auth.log.3.gz
198.18.0.214,3,/var/log/apache2/access_log; /var/log/apache2/error_log; /var/log/auth.log.4.gz
198.18.0.215,1,/var/log/auth.log.1
198.18.0.216,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.217,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.218,1,/var/log/apache2/error_log
198.18.0.219,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.220,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.221,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.222,1,/var/log/auth.log.3.gz
198.18.0.223,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.224,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.225,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.226,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.227,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.228,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.229,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.230,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.231,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.232,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.233,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.234,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.235,1,/var/log/auth.log.2.gz
198.18.0.236,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.237,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.238,2,/var/log/apache2/access_log; /var/log/apache2/error_log
