proto,state,recv_q,send_q,local_addr,local_port,peer_addr,peer_port,pid,process,exe,container,inode,user,source
tcp,LISTEN,0,0,0.0.0.0,25324,0.0.0.0,,,,,,,,netstat_-a.txt
tcp,LISTEN,0,0,localhost,,0.0.0.0,,,,,,,,netstat_-a.txt
tcp,LISTEN,0,0,0.0.0.0,,0.0.0.0,,,,,,,,netstat_-a.txt
tcp,TIME_WAIT,0,0,apachewebserver.i,42974,198.18.11.65,,,,,,,,netstat_-a.txt
tcp,ESTABLISHED,0,0,apachewebserver.i,46070,ec2-18-198-162-56,,,,,,,,netstat_-a.txt
tcp,ESTABLISHED,0,1080,apachewebserver.int,,198.18.0.58,45983,,,,,,,netstat_-a.txt
tcp,TIME_WAIT,0,0,apachewebserver.i,38278,198.18.11.66,,,,,,,,netstat_-a.txt
tcp,TIME_WAIT,0,0,apachewebserver.i,38256,198.18.11.66,,,,,,,,netstat_-a.txt
tcp,TIME_WAIT,0,0,apachewebserver.i,42286,169.254.169.254,,,,,,,,netstat_-a.txt
tcp,FIN_WAIT1,0,25,apachewebserver.i,33504,ec2-3-123-183-86.,,,,,,,,netstat_-a.txt
tcp,ESTABLISHED,0,0,apachewebserver.i,44214,we.love.servers.a,,,,,,,,netstat_-a.txt
tcp,TIME_WAIT,0,0,apachewebserver.i,38286,198.18.11.66,,,,,,,,netstat_-a.txt
tcp,ESTABLISHED,0,0,apachewebserver.int,,64-233-202-242.st,29953,,,,,,,netstat_-a.txt
tcp6,LISTEN,0,0,::,,::,,,,,,,,netstat_-a.txt
tcp6,LISTEN,0,0,::,,::,,,,,,,,netstat_-a.txt
udp,,0,0,localhost,,0.0.0.0,,,,,,,,netstat_-a.txt
udp,,0,0,apachewebserver.,,0.0.0.0,,,,,,,,netstat_-a.txt
udp,,0,0,localhost,25224,0.0.0.0,,,,,,,,netstat_-a.txt
raw6,,0,0,::,,::,,,,,,7,,netstat_-a.txt
unix,,2,,/run/user/1000/systemd/notify,,,,,,,,733323,,netstat_-a.txt
unix,LISTENING,2,,/run/udev/control,,,,,,,,14056,,netstat_-a.txt
unix,LISTENING,2,,/run/user/1000/systemd/private,,,,,,,,733326,,netstat_-a.txt
unix,LISTENING,2,,/run/user/1000/gnupg/S.gpg-agent.browser,,,,,,,,733330,,netstat_-a.txt
unix,LISTENING,2,,/run/user/1000/snapd-session-agent.socket,,,,,,,,733331,,netstat_-a.txt
unix,LISTENING,2,,/run/user/1000/gnupg/S.gpg-agent.ssh,,,,,,,,733332,,netstat_-a.txt
unix,LISTENING,2,,/run/user/1000/gnupg/S.gpg-agent.extra,,,,,,,,733333,,netstat_-a.txt
unix,LISTENING,2,,/run/user/1000/gnupg/S.gpg-agent,,,,,,,,733334,,netstat_-a.txt
unix,LISTENING,2,,/run/user/1000/gnupg/S.dirmngr,,,,,,,,733335,,netstat_-a.txt
