pid,ppid,parent,user,uid,gid,state,comm,exe,exe_source,exe_deleted,cwd,cmdline,start_utc,elapsed,cpu_pct,mem_pct,rss_kb,vsz_kb,threads,tty,stat,container,cgroup,md5,sha1,fd_count,fd_deleted,fd_sockets,fd_tmpfs,maps_count,maps_nonsystem,ld_preload,env_count,socket_count,listening,peers,open_files,hidden,flags,sources
1,0,,root,,,S,systemd,/lib/systemd/systemd,/proc/<pid>/exe link,,/,/sbin/init,2021-10-09 15:06:07,60-03:45:25,0.0,0.4,3868,78048,,?,Ss,,,ac8b27ce6641cba4ed2c5e762f041986,2214cfdf087d2748ef060fd24400fd9abe8432a0,80,0,66,0,130,,,10,38,/run/acpid.socket /run/lvm/lvmetad.socket /run/lvm/lvmpolld.socket /run/snapd-snap.socket /run/snapd.socket /run/systemd/fsck.progress /run/systemd/journal/stdout /run/systemd/private /run/udev/control /run/uuidd/request /var/lib/lxd/unix.socket /var/run/dbus/system_bus_socket @ISCSIADM_ABSTRACT_NAMESPACE,14759 14763 16269 17776 17991 19291 19295 19512 19941 20603 21550 46449982 49272833 49272834 733290 84559942,110,,,"/proc, hash_running_processes, lsof, ps, ps_auxwww, ps_efl, ps_etime, ss, top"
2,0,,root,,,S,kthreadd,,,,/,[kthreadd],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,S,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
3,2,kthreadd,root,,,I,rcu_gp,,,,/,[rcu_gp],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,I<,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
4,2,kthreadd,root,,,I,rcu_par_gp,,,,/,[rcu_par_gp],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,I<,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
6,2,kthreadd,root,,,I,kworker/0:0H-kblockd,,,,/,[kworker/0:0H-kb],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,I<,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
9,2,kthreadd,root,,,I,mm_percpu_wq,,,,/,[mm_percpu_wq],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,I<,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
10,2,kthreadd,root,,,S,ksoftirqd/0,,,,/,[ksoftirqd/0],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,S,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
11,2,kthreadd,root,,,I,rcu_sched,,,,/,[rcu_sched],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,I,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
12,2,kthreadd,root,,,S,migration/0,,,,/,[migration/0],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,S,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
13,2,kthreadd,root,,,S,cpuhp/0,,,,/,[cpuhp/0],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,S,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
14,2,kthreadd,root,,,S,kdevtmpfs,,,,/,[kdevtmpfs],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,S,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
15,2,kthreadd,root,,,I,netns,,,,/,[netns],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,I<,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
16,2,kthreadd,root,,,S,rcu_tasks_kthre,,,,/,[rcu_tasks_kthre],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,S,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
17,2,kthreadd,root,,,S,kauditd,,,,/,[kauditd],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,S,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
18,2,kthreadd,root,,,S,khungtaskd,,,,/,[khungtaskd],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,S,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
19,2,kthreadd,root,,,S,oom_reaper,,,,/,[oom_reaper],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,S,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
20,2,kthreadd,root,,,I,writeback,,,,/,[writeback],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,I<,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
21,2,kthreadd,root,,,S,kcompactd0,,,,/,[kcompactd0],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,S,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
22,2,kthreadd,root,,,S,ksmd,,,,/,[ksmd],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,SN,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
23,2,kthreadd,root,,,S,khugepaged,,,,/,[khugepaged],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,SN,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
69,2,kthreadd,root,,,I,kintegrityd,,,,/,[kintegrityd],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,I<,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
70,2,kthreadd,root,,,I,kblockd,,,,/,[kblockd],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,I<,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
71,2,kthreadd,root,,,I,blkcg_punt_bio,,,,/,[blkcg_punt_bio],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,I<,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
72,2,kthreadd,root,,,I,tpm_dev_wq,,,,/,[tpm_dev_wq],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,I<,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
73,2,kthreadd,root,,,I,ata_sff,,,,/,[ata_sff],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,I<,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
74,2,kthreadd,root,,,I,md,,,,/,[md],2021-10-09 15:06:07,60-03:45:25,0.0,0.0,0,0,,?,I<,,,,,,,,,,,,,,,,2,,,"/proc, lsof, ps, ps_auxwww, ps_efl, ps_etime, top"
