depth,tree,pid,ppid,user,start_utc,elapsed,container,children,hidden,cmdline,note
0,systemd,1,0,root,2021-10-09 15:06:07,60-03:45:25,,29,,/sbin/init,
1,* lvmetad,447,1,root,2021-10-09 15:06:14,60-03:45:18,,,,/sbin/lvmetad -f,
1,* systemd-udevd,457,1,root,2021-10-09 15:06:14,60-03:45:18,,,,/lib/systemd/systemd-udevd,
1,* systemd,602,1,azureus+,2021-10-10 17:02:44,59-01:48:48,,1,,/lib/systemd/systemd --user,
2,** (sd-pam),603,602,azureus+,2021-10-10 17:02:44,59-01:48:48,,,,(sd-pam),
1,* systemd-timesyn,702,1,systemd+,2021-10-09 15:06:17,60-03:45:15,,,,/lib/systemd/systemd-timesyncd,
1,* httpd,801,1,root,2021-10-10 17:03:59,59-01:47:33,,4,,/usr/sbin/httpd -k start,
2,** httpd,1693,801,daemon,2021-11-18 07:37:49,20-11:13:43,,,,/usr/sbin/httpd -k start,
2,** httpd,1813,801,daemon,2021-11-18 07:48:56,20-11:02:36,,,,/usr/sbin/httpd -k start,
2,** httpd,2539,801,daemon,2021-11-18 08:02:44,20-10:48:48,,,,/usr/sbin/httpd -k start,
2,** httpd,2632,801,daemon,2021-11-18 08:31:42,20-10:19:50,,,,/usr/sbin/httpd -k start,
1,* omsagent,828,1,omsagent,2021-11-19 01:36:35,19-17:14:57,,,,/opt/microsoft/omsagent/ruby/bin/ruby /opt/microsoft/omsagent/bin/omsagent -d /var/opt/microsoft/omsagent/00000000-0000-4000-8000-000000000001/run/omsagent.p...,
1,* systemd-network,859,1,systemd+,2021-10-09 15:06:21,60-03:45:11,,,,/lib/systemd/systemd-networkd,
1,* systemd-resolve,870,1,systemd+,2021-10-09 15:06:21,60-03:45:11,,,,/lib/systemd/systemd-resolved,
1,* atd,1003,1,daemon,2021-10-09 15:06:25,60-03:45:07,,,,/usr/sbin/atd -f,
1,* dbus-daemon,1014,1,message+,2021-10-09 15:06:25,60-03:45:07,,,,/usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only,
1,* cron,1029,1,root,2021-10-09 15:06:25,60-03:45:07,,1,,/usr/sbin/cron -f,
2,** cron,,,,,,,1,,,in the pstree drawing only - no artifact gave it a PID
3,*** sh,,,,,,,1,,,in the pstree drawing only - no artifact gave it a PID
4,**** OMSConsistencyI,,,,,,,2,,,in the pstree drawing only - no artifact gave it a PID
5,***** sh,,,,,,,,,,in the pstree drawing only - no artifact gave it a PID
5,***** sh,,,,,,,1,,,in the pstree drawing only - no artifact gave it a PID
6,****** python2,,,,,,,1,,,in the pstree drawing only - no artifact gave it a PID
7,******* dsc_host,,,,,,,,,,in the pstree drawing only - no artifact gave it a PID
1,* lxcfs,1046,1,root,2021-10-09 15:06:25,60-03:45:07,,,,/usr/bin/lxcfs /var/lib/lxcfs/,
