user,timestamp_utc,shell,file,line_no,command
root,,bash,/root/.bash_history,1,aptitude update
root,,bash,/root/.bash_history,2,apt install aptitude
root,,bash,/root/.bash_history,3,aptitude update
root,,bash,/root/.bash_history,4,aptitude safe-upgrade
root,,bash,/root/.bash_history,5,reboot
root,,bash,/root/.bash_history,6,tcpdump -i eth0 -n 'port 443'
root,,bash,/root/.bash_history,7,tcpdump -i eth0 -n 'not port 22'
root,,bash,/root/.bash_history,8,aptitude install tshark
root,,bash,/root/.bash_history,9,tshark -h
root,,bash,/root/.bash_history,10,tshark -n -i eth0 'not port 22'
root,,bash,/root/.bash_history,11,tcpdump -i eth0 -n 'not port 22' -w out.pcap
root,,bash,/root/.bash_history,12,tshark -r out.pcap -n | more
root,,bash,/root/.bash_history,13,tcpdump -r out.pcap -n -X | more
root,,bash,/root/.bash_history,14,tcpdump -r out.pcap -n -X 'port 80' | less
root,,bash,/root/.bash_history,15,clear
root,,bash,/root/.bash_history,16,ll
root,,bash,/root/.bash_history,17,cat filebeat.log
root,,bash,/root/.bash_history,18,cat filebeat.log | more
root,,bash,/root/.bash_history,19,cat filebeat.log | less
root,,bash,/root/.bash_history,20,cd /etc/filebeat/modules.d/
root,,bash,/root/.bash_history,21,ll
root,,bash,/root/.bash_history,22,more elasticsearch.yml.disabled
root,,bash,/root/.bash_history,23,ll
root,,bash,/root/.bash_history,24,ps aux | grep -i filebeat
root,,bash,/root/.bash_history,25,cd ..
root,,bash,/root/.bash_history,26,vi filebeat.yml
root,,bash,/root/.bash_history,27,grep humio filebeat.yml
root,,bash,/root/.bash_history,28,host cloud.humio.com
root,,bash,/root/.bash_history,29,tcpdump -i eth0 -n 'not port 22'
root,,bash,/root/.bash_history,30,ll
root,,bash,/root/.bash_history,31,tail -f /var/log/filebeat/filebeat.log
root,,bash,/root/.bash_history,32,cd ..
root,,bash,/root/.bash_history,33,systemctl restart filebeat
root,,bash,/root/.bash_history,34,host cloud.humio.com
root,,bash,/root/.bash_history,35,systemctl restart filebeat
root,,bash,/root/.bash_history,36,ll
root,,bash,/root/.bash_history,37,rm out.pcap
root,,bash,/root/.bash_history,38,cd ..
root,,bash,/root/.bash_history,39,ll
root,,bash,/root/.bash_history,40,cd apache2/
root,,bash,/root/.bash_history,41,ll
root,,bash,/root/.bash_history,42,tail error_log
root,,bash,/root/.bash_history,43,tail access_log
root,,bash,/root/.bash_history,44,cd /etc/filebeat/
root,,bash,/root/.bash_history,45,ll
root,,bash,/root/.bash_history,46,vi filebeat.yml
root,,bash,/root/.bash_history,47,filebeat -h
root,,bash,/root/.bash_history,48,filebeat -V
root,,bash,/root/.bash_history,49,filebeat -V | more
root,,bash,/root/.bash_history,50,filebeat --version
root,,bash,/root/.bash_history,51,filebeat -h | more
root,,bash,/root/.bash_history,52,filebeat version
root,,bash,/root/.bash_history,53,aptitude remove filebeat
root,,bash,/root/.bash_history,54,ll
root,,bash,/root/.bash_history,55,cp filebeat.yml ~
root,,bash,/root/.bash_history,56,cd
root,,bash,/root/.bash_history,57,rm -rf /etc/filebeat/
root,,bash,/root/.bash_history,58,ps aux | grep -i file
root,,bash,/root/.bash_history,59,systemctl stop filebeat
root,,bash,/root/.bash_history,60,ps aux | grep -i file
root,,bash,/root/.bash_history,61,systemctl restart filebeat
root,,bash,/root/.bash_history,62,systemctl enable filebeat
root,,bash,/root/.bash_history,63,ls /etc/init.d
root,,bash,/root/.bash_history,64,cd /etc/init.d
root,,bash,/root/.bash_history,65,cat filebeat
root,,bash,/root/.bash_history,66,more filebeat
root,,bash,/root/.bash_history,67,tcpdump -i eth0 -n 'not port 22'
root,,bash,/root/.bash_history,68,netstat -an| more
root,,bash,/root/.bash_history,69,cd /var/log
root,,bash,/root/.bash_history,70,ll
root,,bash,/root/.bash_history,71,cd filebeat/
root,,bash,/root/.bash_history,72,ll
root,,bash,/root/.bash_history,73,cat filebeat.log
root,,bash,/root/.bash_history,74,tail -f filebeat.log
root,,bash,/root/.bash_history,75,cd /etc/filebeat/
root,,bash,/root/.bash_history,76,ll
root,,bash,/root/.bash_history,77,vi filebeat.yml
root,,bash,/root/.bash_history,78,cd -
root,,bash,/root/.bash_history,79,tail -f filebeat.log
root,,bash,/root/.bash_history,80,systemctl start filebeat
root,,bash,/root/.bash_history,81,tcpdump -i eth0 -n 'port 443'
root,,bash,/root/.bash_history,82,vi filebeat.yml
root,,bash,/root/.bash_history,83,ll /var/log/apache2/
root,,bash,/root/.bash_history,84,tail -f filebeat.log
root,,bash,/root/.bash_history,85,systemctl start filebeat
root,,bash,/root/.bash_history,86,vi filebeat.yml
root,,bash,/root/.bash_history,87,vi /etc/filebeat/filebeat.yml
root,,bash,/root/.bash_history,88,systemctl restart filebeat
root,,bash,/root/.bash_history,89,tail -f filebeat.log
root,,bash,/root/.bash_history,90,tail -f /var/log/syslog
root,,bash,/root/.bash_history,91,tail -f filebeat.log
root,,bash,/root/.bash_history,92,vi filebeat.yml
root,,bash,/root/.bash_history,93,systemctl restart filebeat
root,,bash,/root/.bash_history,94,ps -ef | grep -i filebeat
root,,bash,/root/.bash_history,95,systemctl start filebeat
root,,bash,/root/.bash_history,96,tail /var/log/syslog
root,,bash,/root/.bash_history,97,vi filebeat.yml
root,,bash,/root/.bash_history,98,vi /etc/filebeat/filebeat.yml
root,,bash,/root/.bash_history,99,systemctl restart filebeat
root,,bash,/root/.bash_history,100,tail -f filebeat.log
root,,bash,/root/.bash_history,101,vi /etc/filebeat/filebeat.yml
root,,bash,/root/.bash_history,102,systemctl restart filebeat
root,,bash,/root/.bash_history,103,tail -f filebeat.log
root,,bash,/root/.bash_history,104,cd /etc/apache2/
root,,bash,/root/.bash_history,105,ll
root,,bash,/root/.bash_history,106,vi httpd.conf
root,,bash,/root/.bash_history,107,ps aux | grep -i apache
root,,bash,/root/.bash_history,108,ps aux | grep -i httpd
root,,bash,/root/.bash_history,109,/usr/sbin/httpd -k stop
root,,bash,/root/.bash_history,110,ps aux | grep -i httpd
root,,bash,/root/.bash_history,111,/usr/sbin/httpd -k start
root,,bash,/root/.bash_history,112,netstat -an | more
root,,bash,/root/.bash_history,113,cd /var/log/apache2/
root,,bash,/root/.bash_history,114,ll
root,,bash,/root/.bash_history,115,tail -f access_log
root,,bash,/root/.bash_history,116,ll
root,,bash,/root/.bash_history,117,tail error_log
root,,bash,/root/.bash_history,118,cd ..
root,,bash,/root/.bash_history,119,ll
root,,bash,/root/.bash_history,120,cd apache2/
root,,bash,/root/.bash_history,121,ll
root,,bash,/root/.bash_history,122,cat access_log
root,,bash,/root/.bash_history,123,tail -f access_log
root,,bash,/root/.bash_history,124,vi httpd.conf
root,,bash,/root/.bash_history,125,apt-get update
root,,bash,/root/.bash_history,126,apt-get search filebeat
root,,bash,/root/.bash_history,127,aptitude search filebeat
root,,bash,/root/.bash_history,128,aptitude
root,,bash,/root/.bash_history,129,aptitude install filebeat
root,,bash,/root/.bash_history,130,systemctl enable filebeat
root,,bash,/root/.bash_history,131,systemctl enable apache2
root,,bash,/root/.bash_history,132,ll
root,,bash,/root/.bash_history,133,cd /etc
root,,bash,/root/.bash_history,134,ls
root,,bash,/root/.bash_history,135,cd filebeat/
root,,bash,/root/.bash_history,136,ll
