rule,level,product,service_or_category,applicable,why_not,tables_checked,rows_matched,rule_id,rule_file
Python Path Configuration File Creation - Linux,medium,linux,file_event,no,no table here carries 'file_event' data,,0,fb96c26c-9f85-4ae7-af0d-ed1ed1f1f5ce,sigma-rules/rules-threat-hunting\linux\file\file_event\file_event_lnx_python_path_configuration_files.yml
Potentially Suspicious Long Filename Pattern - Linux,low,linux,file_event,no,no table here carries 'file_event' data,,0,11629c4d-0fe6-465b-be62-b39a1c442aad,sigma-rules/rules-threat-hunting\linux\file\file_event\file_event_lnx_susp_long_filename_pattern.yml
Terminate Linux Process Via Kill,medium,linux,process_creation,yes,,"PROCESSES, PROCESS_MASTER",0,64c41342-6b27-523b-5d3f-c265f3efcdb3,sigma-rules/rules-threat-hunting\linux\process_creation\proc_creation_lnx_susp_process_termination_via_kill.yml
Process Discovery,low,linux,process_creation,yes,,"PROCESSES, PROCESS_MASTER",2,4e2f5868-08d4-413d-899f-dc2f1508627b,sigma-rules/rules-threat-hunting\linux\process_creation\proc_creation_lnx_susp_running_process_discovery.yml
Bitbucket Full Data Export Triggered,high,bitbucket,audit,no,logsource product 'bitbucket' is not this collection,,0,195e1b9d-bfc2-4ffa-ab4e-35aef69815f8,sigma-rules/rules\application\bitbucket\audit\bitbucket_audit_full_data_export_triggered.yml
Bitbucket Global Permission Changed,medium,bitbucket,audit,no,logsource product 'bitbucket' is not this collection,,0,aac6c4f4-87c7-4961-96ac-c3fd3a42c310,sigma-rules/rules\application\bitbucket\audit\bitbucket_audit_global_permissions_change_detected.yml
Bitbucket Global Secret Scanning Rule Deleted,medium,bitbucket,audit,no,logsource product 'bitbucket' is not this collection,,0,e16cf0f0-ee88-4901-bd0b-4c8d13d9ee05,sigma-rules/rules\application\bitbucket\audit\bitbucket_audit_global_secret_scanning_rule_deleted.yml
Bitbucket Global SSH Settings Changed,medium,bitbucket,audit,no,logsource product 'bitbucket' is not this collection,,0,16ab6143-510a-44e2-a615-bdb80b8317fc,sigma-rules/rules\application\bitbucket\audit\bitbucket_audit_global_ssh_settings_change_detected.yml
Bitbucket Audit Log Configuration Updated,medium,bitbucket,audit,no,logsource product 'bitbucket' is not this collection,,0,6aa12161-235a-4dfb-9c74-fe08df8d8da1,sigma-rules/rules\application\bitbucket\audit\bitbucket_audit_log_configuration_update_detected.yml
Bitbucket Project Secret Scanning Allowlist Added,low,bitbucket,audit,no,logsource product 'bitbucket' is not this collection,,0,42ccce6d-7bd3-4930-95cd-e4d83fa94a30,sigma-rules/rules\application\bitbucket\audit\bitbucket_audit_project_secret_scanning_allowlist_added.yml
Bitbucket Secret Scanning Exempt Repository Added,high,bitbucket,audit,no,logsource product 'bitbucket' is not this collection,,0,b91e8d5e-0033-44fe-973f-b730316f23a1,sigma-rules/rules\application\bitbucket\audit\bitbucket_audit_secret_scanning_exempt_repository_detected.yml
Bitbucket Secret Scanning Rule Deleted,low,bitbucket,audit,no,logsource product 'bitbucket' is not this collection,,0,ff91e3f0-ad15-459f-9a85-1556390c138d,sigma-rules/rules\application\bitbucket\audit\bitbucket_audit_secret_scanning_rule_deleted.yml
Bitbucket Unauthorized Access To A Resource,critical,bitbucket,audit,no,logsource product 'bitbucket' is not this collection,,0,7215374a-de4f-4b33-8ba5-70804c9251d3,sigma-rules/rules\application\bitbucket\audit\bitbucket_audit_unauthorized_access_detected.yml
Bitbucket Unauthorized Full Data Export Triggered,critical,bitbucket,audit,no,logsource product 'bitbucket' is not this collection,,0,34d81081-03c9-4a7f-91c9-5e46af625cde,sigma-rules/rules\application\bitbucket\audit\bitbucket_audit_unauthorized_full_data_export_triggered.yml
Bitbucket User Details Export Attempt Detected,medium,bitbucket,audit,no,logsource product 'bitbucket' is not this collection,,0,5259cbf2-0a75-48bf-b57a-c54d6fabaef3,sigma-rules/rules\application\bitbucket\audit\bitbucket_audit_user_details_export_attempt_detected.yml
Bitbucket User Login Failure,medium,bitbucket,audit,no,logsource product 'bitbucket' is not this collection,,0,70ed1d26-0050-4b38-a599-92c53d57d45a,sigma-rules/rules\application\bitbucket\audit\bitbucket_audit_user_login_failure_detected.yml
Bitbucket User Login Failure Via SSH,medium,bitbucket,audit,no,logsource product 'bitbucket' is not this collection,,0,d3f90469-fb05-42ce-b67d-0fded91bbef3,sigma-rules/rules\application\bitbucket\audit\bitbucket_audit_user_login_failure_via_ssh_detected.yml
Bitbucket User Permissions Export Attempt,medium,bitbucket,audit,no,logsource product 'bitbucket' is not this collection,,0,87cc6698-3e07-4ba2-9b43-a85a73e151e2,sigma-rules/rules\application\bitbucket\audit\bitbucket_audit_user_permissions_export_attempt_detected.yml
Django Framework Exceptions,medium,django,application,no,logsource product 'django' is not this collection,,0,fd435618-981e-4a7c-81f8-f78ce480d616,sigma-rules/rules\application\django\appframework_django_exceptions.yml
Github Delete Action Invoked,medium,github,audit,no,logsource product 'github' is not this collection,,0,16a71777-0b2e-4db7-9888-9d59cb75200b,sigma-rules/rules\application\github\audit\github_delete_action_invoked.yml
Github High Risk Configuration Disabled,high,github,audit,no,logsource product 'github' is not this collection,,0,8622c92d-c00e-463c-b09d-fd06166f6794,sigma-rules/rules\application\github\audit\github_disable_high_risk_configuration.yml
Outdated Dependency Or Vulnerability Alert Disabled,high,github,audit,no,logsource product 'github' is not this collection,,0,34e1c7d4-0cd5-419d-9f1b-1dad3f61018d,sigma-rules/rules\application\github\audit\github_disabled_outdated_dependency_or_vulnerability.yml
Github Fork Private Repositories Setting Enabled/Cleared,medium,github,audit,no,logsource product 'github' is not this collection,,0,69b3bd1e-b38a-462f-9a23-fbdbf63d2294,sigma-rules/rules\application\github\audit\github_fork_private_repos_enabled_or_cleared.yml
New Github Organization Member Added,informational,github,audit,no,logsource product 'github' is not this collection,,0,3908d64a-3c06-4091-b503-b3a94424533b,sigma-rules/rules\application\github\audit\github_new_org_member.yml
Github New Secret Created,low,github,audit,no,logsource product 'github' is not this collection,,0,f9405037-bc97-4eb7-baba-167dad399b83,sigma-rules/rules\application\github\audit\github_new_secret_created.yml
Github Outside Collaborator Detected,medium,github,audit,no,logsource product 'github' is not this collection,,0,eaa9ac35-1730-441f-9587-25767bde99d7,sigma-rules/rules\application\github\audit\github_outside_collaborator_detected.yml
GitHub Repository Pages Site Changed to Public,low,github,audit,no,logsource product 'github' is not this collection,,0,0c46d4f4-a2bf-4104-9597-8d653fc2bb55,sigma-rules/rules\application\github\audit\github_pages_site_changed_to_public.yml
Github Push Protection Bypass Detected,low,github,audit,no,logsource product 'github' is not this collection,,0,02cf536a-cf21-4876-8842-4159c8aee3cc,sigma-rules/rules\application\github\audit\github_push_protection_bypass_detected.yml
Github Push Protection Disabled,high,github,audit,no,logsource product 'github' is not this collection,,0,ccd55945-badd-4bae-936b-823a735d37dd,sigma-rules/rules\application\github\audit\github_push_protection_disabled.yml
Github Repository/Organization Transferred,medium,github,audit,no,logsource product 'github' is not this collection,,0,04ad83ef-1a37-4c10-b57a-81092164bf33,sigma-rules/rules\application\github\audit\github_repo_or_org_transferred.yml
GitHub Repository Archive Status Changed,low,github,audit,no,logsource product 'github' is not this collection,,0,dca8991c-cb16-4128-abf8-6b11e5cd156f,sigma-rules/rules\application\github\audit\github_repository_archive_status_changed.yml
Github Secret Scanning Feature Disabled,high,github,audit,no,logsource product 'github' is not this collection,,0,3883d9a0-fd0f-440f-afbb-445a2a799bb8,sigma-rules/rules\application\github\audit\github_secret_scanning_feature_disabled.yml
Github Self Hosted Runner Changes Detected,low,github,audit,no,logsource product 'github' is not this collection,,0,f8ed0e8f-7438-4b79-85eb-f358ef2fbebd,sigma-rules/rules\application\github\audit\github_self_hosted_runner_changes_detected.yml
