proto,state,recv_q,send_q,local_addr,local_port,peer_addr,peer_port,pid,process,exe,user,container,source
nl,UNCONN,0,0,0:870,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,0:1,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,0:0,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,0:870,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,0:1,,*,,,,,,,ss_-anp.txt
nl,UNCONN,4352,0,4:17505,,*,,,,,,,ss_-anp.txt
nl,UNCONN,768,0,4:0,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,7:0,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,8:0,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,9:9303,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,9:0,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,9:-1650336480,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,9:1,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,9:4148,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,9:-1477558861,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,9:1,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,10:0,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,11:4148,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,11:0,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,11:4148,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,15:457,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,15:602,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,15:-106842952,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,15:7900,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,15:0,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,15:-1570762757,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,15:859,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,15:-793147364,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,15:1,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,15:-1489579724,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,15:-106842952,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,15:-1489579724,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,15:-793147364,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,15:7900,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,15:602,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,15:859,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,15:-1570762757,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,15:1,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,16:0,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,16:859,,*,,,,,,,ss_-anp.txt
nl,UNCONN,0,0,18:0,,*,,,,,,,ss_-anp.txt
p_raw,UNCONN,0,0,LLDP:eth0,,*,,859,systemd-network,/lib/systemd/systemd-networkd,systemd+,,ss_-anp.txt
u_dgr,UNCONN,0,0,/run/user/1000/systemd/notify,733323,*,0,602,systemd,/lib/systemd/systemd,azureus+,,ss_-anp.txt
u_seq,LISTEN,0,128,/run/udev/control,14056,*,0,"1,457",systemd-udevd,"/lib/systemd/systemd,/lib/systemd/systemd-udevd",root,,ss_-anp.txt
u_str,LISTEN,0,128,/run/user/1000/systemd/private,733326,*,0,602,systemd,/lib/systemd/systemd,azureus+,,ss_-anp.txt
u_str,LISTEN,0,128,/run/user/1000/gnupg/S.gpg-agent.browser,733330,*,0,602,systemd,/lib/systemd/systemd,azureus+,,ss_-anp.txt
u_str,LISTEN,0,128,/run/user/1000/snapd-session-agent.socket,733331,*,0,602,systemd,/lib/systemd/systemd,azureus+,,ss_-anp.txt
u_str,LISTEN,0,128,/run/user/1000/gnupg/S.gpg-agent.ssh,733332,*,0,602,systemd,/lib/systemd/systemd,azureus+,,ss_-anp.txt
u_str,LISTEN,0,128,/run/user/1000/gnupg/S.gpg-agent.extra,733333,*,0,602,systemd,/lib/systemd/systemd,azureus+,,ss_-anp.txt
u_str,LISTEN,0,128,/run/user/1000/gnupg/S.gpg-agent,733334,*,0,602,systemd,/lib/systemd/systemd,azureus+,,ss_-anp.txt
u_str,LISTEN,0,128,/run/user/1000/gnupg/S.dirmngr,733335,*,0,602,systemd,/lib/systemd/systemd,azureus+,,ss_-anp.txt
u_str,LISTEN,0,128,/var/run/dbus/system_bus_socket,18667,*,0,"1,1014",dbus-daemon,"/lib/systemd/systemd,/usr/bin/dbus-daemon","message+,root",,ss_-anp.txt
u_str,LISTEN,0,128,/run/snapd.socket,18715,*,0,1,systemd,/lib/systemd/systemd,root,,ss_-anp.txt
u_dgr,UNCONN,0,0,/run/systemd/notify,13486,*,0,1,systemd,/lib/systemd/systemd,root,,ss_-anp.txt
u_str,LISTEN,0,128,/run/acpid.socket,18693,*,0,1,systemd,/lib/systemd/systemd,root,,ss_-anp.txt
u_str,LISTEN,0,128,/run/systemd/private,13489,*,0,1,systemd,/lib/systemd/systemd,root,,ss_-anp.txt
u_str,LISTEN,0,128,/run/uuidd/request,18707,*,0,1,systemd,/lib/systemd/systemd,root,,ss_-anp.txt
u_str,LISTEN,0,15,/etc/opt/omi/conf/sockets/omi_JozaRvZDS,102128867,*,0,22096,omiserver,/opt/omi/bin/omiserver,root,,ss_-anp.txt
u_str,LISTEN,0,128,/run/snapd-snap.socket,18717,*,0,1,systemd,/lib/systemd/systemd,root,,ss_-anp.txt
u_dgr,UNCONN,0,0,/run/systemd/journal/dev-log,13494,*,0,"1,27623",systemd-journal,"/lib/systemd/systemd,/lib/systemd/systemd-journald",root,,ss_-anp.txt
