unit,unit_type,path,scope,description,exec_start,running_pids,exec_start_pre,exec_stop,user,environment,environment_file,wanted_by,required_by,listen,watch_path,restart,enabled_link
accounts-daemon.service,service,/lib/systemd/system/accounts-daemon.service,vendor,Accounts Service,/usr/lib/accountsservice/accounts-daemon,1065,,,,GVFS_DISABLE_FUSE=1 | GIO_USE_VFS=local | GVFS_REMOTE_VOLUME_MONITOR_IGNORE=1,,graphical.target,,,,,
acpid.path,path,/lib/systemd/system/acpid.path,vendor,ACPI Events Check,,,,,,,,paths.target,,,/etc/acpi/events/,,
acpid.service,service,/lib/systemd/system/acpid.service,vendor,ACPI event daemon,/usr/sbin/acpid $OPTIONS,,,,,,/etc/default/acpid,multi-user.target,,,,,
acpid.socket,socket,/lib/systemd/system/acpid.socket,vendor,ACPID Listen Socket,,,,,,,,sockets.target,,/run/acpid.socket,,,
apparmor.service,service,/lib/systemd/system/apparmor.service,vendor,AppArmor initialization,/etc/init.d/apparmor start,,,/etc/init.d/apparmor stop,,,,sysinit.target,,,,,
apport-autoreport.path,path,/lib/systemd/system/apport-autoreport.path,vendor,Process error reports when automatic reporting is enabled (file watch),,,,,,,,paths.target,,,,,
apport-autoreport.service,service,/lib/systemd/system/apport-autoreport.service,vendor,Process error reports when automatic reporting is enabled,/usr/share/apport/whoopsie-upload-all,,,,,,,,,,,,
apport-forward.socket,socket,/lib/systemd/system/apport-forward.socket,vendor,Unix socket for apport crash forwarding,,,,,,,,sockets.target,,/run/apport.socket,,,
apport-forward@.service,service,/lib/systemd/system/apport-forward@.service,vendor,Apport crash forwarding receiver,/usr/share/apport/apport,,,,,,,,,,,,
apt-daily-upgrade.service,service,/lib/systemd/system/apt-daily-upgrade.service,vendor,Daily apt upgrade and clean activities,/usr/lib/apt/apt.systemd.daily install,,,,,,,,,,,,
apt-daily-upgrade.timer,timer,/lib/systemd/system/apt-daily-upgrade.timer,vendor,Daily apt upgrade and clean activities,,,,,,,,timers.target,,,,,
apt-daily.service,service,/lib/systemd/system/apt-daily.service,vendor,Daily apt download activities,/usr/lib/apt/apt.systemd.daily update,,-/usr/lib/apt/apt-helper wait-online,,,,,,,,,,
apt-daily.timer,timer,/lib/systemd/system/apt-daily.timer,vendor,Daily apt download activities,,,,,,,,timers.target,,,,,
atd.service,service,/lib/systemd/system/atd.service,vendor,Deferred execution scheduler,/usr/sbin/atd -f,1003,,,,,,multi-user.target,,,,,
azure-vmextensions.slice,slice,/lib/systemd/system/azure-vmextensions.slice,vendor,Slice for Azure VM Extensions,,,,,,,,,,,,,
azure-walinuxagent-logcollector.slice,slice,/lib/systemd/system/azure-walinuxagent-logcollector.slice,vendor,Slice for Azure VM Agent Periodic Log Collector,,,,,,,,,,,,,
azure.slice,slice,/lib/systemd/system/azure.slice,vendor,Slice for Azure VM Agent and Extensions,,,,,,,,,,,,,
basic.target,target,/lib/systemd/system/basic.target,vendor,Basic System,,,,,,,,,,,,,
blk-availability.service,service,/lib/systemd/system/blk-availability.service,vendor,Availability of block devices,/bin/true,,,/sbin/blkdeactivate -u -l wholevg -m disablequeueing -r wait,,,,sysinit.target,,,,,
bluetooth.target,target,/lib/systemd/system/bluetooth.target,vendor,Bluetooth,,,,,,,,,,,,,
cloud-config.service,service,/lib/systemd/system/cloud-config.service,vendor,Apply the settings specified in cloud-config,/usr/bin/cloud-init modules --mode=config,,,,,,,cloud-init.target,,,,,
cloud-config.target,target,/lib/systemd/system/cloud-config.target,vendor,Cloud-config availability,,,,,,,,,,,,,
cloud-final.service,service,/lib/systemd/system/cloud-final.service,vendor,Execute cloud user/final scripts,/usr/bin/cloud-init modules --mode=final,,,,,,,cloud-init.target,,,,,
cloud-init-hotplugd.service,service,/lib/systemd/system/cloud-init-hotplugd.service,vendor,cloud-init hotplug hook daemon,"/bin/bash -c 'read args <&3; echo ""args=$args""; \",,,,,,,,,,,,
cloud-init-hotplugd.socket,socket,/lib/systemd/system/cloud-init-hotplugd.socket,vendor,cloud-init hotplug hook socket,,,,,,,,cloud-init.target,,/run/cloud-init/hook-hotplug-cmd,,,
cloud-init-local.service,service,/lib/systemd/system/cloud-init-local.service,vendor,Initial cloud-init job (pre-networking),/usr/bin/cloud-init init --local | /bin/touch /run/cloud-init/network-config-ready,,,,,,,cloud-init.target,,,,,
cloud-init-local.service,service,/lib/systemd/system/cloud-init-local.service.d/50-azure-clear-persistent-obj-pkl.conf,vendor drop-in,,,,"-/bin/sh -xc 'if [ -e /var/lib/cloud/instance/obj.pkl ]; then echo ""cleaning persistent cloud-init object""; rm /var/lib/cloud/instance/obj.pkl; fi; exit 0'",,,,,,,,,,
cloud-init.service,service,/lib/systemd/system/cloud-init.service,vendor,Initial cloud-init job (metadata service crawler),/usr/bin/cloud-init init,,,,,,,cloud-init.target,,,,,
cloud-init.target,target,/lib/systemd/system/cloud-init.target,vendor,Cloud-init target,,,,,,,,,,,,,
console-getty.service,service,/lib/systemd/system/console-getty.service,vendor,Console Getty,"-/sbin/agetty -o '-p -- \\u' --noclear --keep-baud console 115200,38400,9600 $TERM","1084,1103",,,,,,getty.target,,,,always,
console-setup.service,service,/lib/systemd/system/console-setup.service,vendor,Set console font and keymap,/lib/console-setup/console-setup.sh,,,,,,,multi-user.target,,,,,
container-getty@.service,service,/lib/systemd/system/container-getty@.service,vendor,Container Getty on /dev/pts/%I,"-/sbin/agetty -o '-p -- \\u' --noclear --keep-baud pts/%I 115200,38400,9600 $TERM","1084,1103",,,,,,,,,,always,
cron.service,service,/lib/systemd/system/cron.service,vendor,Regular background program processing daemon,/usr/sbin/cron -f $EXTRA_OPTS,1029,,,,,-/etc/default/cron,multi-user.target,,,,,
cryptsetup-pre.target,target,/lib/systemd/system/cryptsetup-pre.target,vendor,Local Encrypted Volumes (Pre),,,,,,,,,,,,,
cryptsetup.target,target,/lib/systemd/system/cryptsetup.target,vendor,Local Encrypted Volumes,,,,,,,,,,,,,
dbus.service,service,/lib/systemd/system/dbus.service,vendor,D-Bus System Message Bus,/usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only,1014,,/bin/true,,,,,,,,,
dbus.socket,socket,/lib/systemd/system/dbus.socket,vendor,D-Bus System Message Bus Socket,,,,,,,,,,/var/run/dbus/system_bus_socket,,,
debug-shell.service,service,/lib/systemd/system/debug-shell.service,vendor,Early root shell on /dev/tty9 FOR DEBUGGING ONLY,/bin/bash,,,,,TERM=linux,,sysinit.target,,,,always,
dev-hugepages.mount,mount,/lib/systemd/system/dev-hugepages.mount,vendor,Huge Pages File System,,,,,,,,,,,,,
dev-mqueue.mount,mount,/lib/systemd/system/dev-mqueue.mount,vendor,POSIX Message Queue File System,,,,,,,,,,,,,
dm-event.service,service,/lib/systemd/system/dm-event.service,vendor,Device-mapper event daemon,/sbin/dmeventd -f,,,,,SD_ACTIVATION=1,,,,,,,
dm-event.socket,socket,/lib/systemd/system/dm-event.socket,vendor,Device-mapper event daemon FIFOs,,,,,,,,sockets.target,,/run/dmeventd-server | /run/dmeventd-client,,,
ebtables.service,service,/lib/systemd/system/ebtables.service,vendor,ebtables ruleset management,/etc/init.d/ebtables start,,,/etc/init.d/ebtables stop,,,,multi-user.target,,,,,
